pond,lat,manual,granule_id,gtx,source
1,-72.99640999999984,2.249195150929562,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99639999999984,2.297466368437713,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99638999999983,2.343976186941896,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99637999999983,2.386454530513276,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99636999999983,2.425035181042273,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99635999999983,2.458479297308448,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99634999999982,2.4824744285326545,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99633999999982,2.49957558465227,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99632999999982,2.5024693000839826,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99631999999981,2.4980550400197026,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99630999999981,2.484018732952603,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.9962999999998,2.4657938598311318,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.9962899999998,2.445893304336296,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.9962799999998,2.414663773382194,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.9962699999998,2.39208810013098,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.9962599999998,2.3656106603614293,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99624999999979,2.338130740412168,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99623999999979,2.3098631851020914,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99622999999978,2.2716661305559467,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99621999999978,2.237462434200829,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99620999999978,2.199181834540983,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99619999999977,2.158774426560256,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99618999999977,2.1053805433987614,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99617999999977,2.058123967533424,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99616999999976,2.017134405596507,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99615999999976,1.9784713770355395,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99614999999976,1.9342710356699424,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99613999999976,1.89903268005018,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99612999999975,1.8708407958671671,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99611999999975,1.8448818244841587,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99610999999975,1.8171827832457128,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
