lake_id,dist_along_track_m,lon,lat,manual,STD_high,STD_low,Z_green,Green_z_lit,Z_red,Red_z_lit,DEM_zeroed,surrf_2024
1,1306.5,-49.13822832166857,67.08016715045335,,,,,,,,,0.0
1,1301.5,-49.13821551320938,67.08021170560045,,,,,,,,,0.0
1,1296.5,-49.13820267006956,67.08025625926953,,,,,,,,,0.0
1,1291.5,-49.13818982692974,67.08030081293862,,,,,,,,,0.0
1,1286.5,-49.138176931910934,67.08034536420294,,,,,,,,,0.0
1,1281.5,-49.13816402526697,67.08038991492838,,,,,,,,,0.0
1,1276.5,-49.13815097589662,67.08043445932331,,,,,,,,,0.0
1,1271.5,-49.13813792358412,67.08047900358775,,,,,,,,,0.0
1,1266.5,-49.13812471535983,67.08052354077681,,,,,,,,,0.0
1,1261.5,-49.13811142372867,67.08056807418083,,,,,,,,,0.0
1,1256.5,-49.13809815917011,67.08061260889137,,,,,,,,,0.0
1,1251.5,-49.13808489373562,67.08065714356819,,,,,,,,,0.0
1,1246.5,-49.13807156428982,67.08070167528736,,,,,,,,,0.0
1,1241.5,-49.13805823484401,67.08074620700653,,,,,,,,,0.0
1,1236.5,-49.13804486672486,67.08079073703678,,,,,,,,,0.0
1,1231.5,-49.13803146376295,67.08083526554542,,,,,,,,,0.0
1,1226.5,-49.13801802197232,67.08087979222367,,,,,,,,,0.0
1,1221.5,-49.138004563154105,67.08092431809924,,,,,,,,,0.0
1,1216.5,-49.13799110316938,67.08096884392509,,,,,,,,,0.0
1,1211.5,-49.137977583457584,67.08101336720622,,,,,,,,,0.0
1,1206.5,-49.13796405824895,67.08105789020318,,,,,,,,,0.0
1,1201.5,-49.13795051991816,67.08110241253787,,,,,,,,,0.0
1,1196.5,-49.13793695221668,67.08114693360874,,,,,,,,,0.0
1,1191.5,-49.1379233845152,67.08119145467958,,,,,,,,,0.0
1,1186.5,-49.13790980408324,67.08123597513091,,,,,,,,,0.0
1,1181.5,-49.1378962119496,67.08128049501279,,,,,,,,,0.0
1,1176.5,-49.13788261848714,67.08132501487385,,,,,,,,,0.0
1,1171.5,-49.13786902128808,67.08136953467643,,,,,,,,,0.0
1,1166.5,-49.13785542434075,67.08141405444796,,,,,,,,,0.0
1,1161.5,-49.13784182802804,67.08145857414124,,,,,,,,,0.0
1,1156.5,-49.13782824199112,67.08150309437683,,,,,,,,,0.0
1,1151.5,-49.137814659794074,67.08154761481507,,,,,,,,,0.0
1,1146.5,-49.13780109704928,67.08159213607195,,,,,,,,,0.0
1,1141.5,-49.137787540947414,67.08163665760839,,,,,,,,,0.0
1,1136.5,-49.13777399996793,67.08168117988318,,,,,,,,,0.0
1,1131.5,-49.1377604756137,67.0817257029697,,,,,,,,,0.0
1,1126.5,-49.1377472505783,67.08177023939739,,,,,,,,,0.0
1,1121.5,-49.13773405366555,67.08181477707855,,,,,,,,,0.0
1,1116.5,-49.1377207800304,67.0818593114125,,,,,,,,,0.0
1,1111.5,-49.137707498913564,67.08190384542006,,,,,,,,,0.0
1,1106.5,-49.13769425051286,67.08194838081623,,,,,,,,,0.04973383542166858
1,1101.5,-49.13768102171951,67.08199291704463,,,,,,,,,0.12253685067154138
1,1096.5,-49.13766781564844,67.08203745437842,,,,,,,,,
1,1091.5,-49.13765462812229,67.0820819926144,0.06919368437947897,0.09958833697549287,0.0387990317834651,1.625622439,2.231550252,0.827828109,1.137649354,-0.0600625,
1,1086.5,-49.137641475522116,67.08212653232721,0.2321402860988769,0.2999949817927203,0.16428559040503357,2.080429271,2.855634719,1.050873507,1.444048303,-0.026372849979350237,
1,1081.5,-49.13762834758226,67.08217107314103,0.38224331301312553,0.4796875968865297,0.2847990294666326,2.30036799,3.157388948,1.183703916,1.626480794,0.088375,
1,1076.5,-49.137615259542656,67.0822156158127,0.523448158092144,0.6450277515804241,0.40186856548427585,2.30036799,3.157388948,1.183703916,1.626480794,0.1548361254096597,
1,1071.5,-49.137602171503055,67.08226015848439,0.6533383884444163,0.784092190409599,0.5225845866114069,2.420132619,3.321692069,1.29359807,1.777386937,0.229,
1,1066.5,-49.13758909746821,67.08230470174286,0.7801119484828088,0.9159167030057033,0.6443071929850712,2.420132619,3.321692069,1.29359807,1.777386937,0.2915,
1,1061.5,-49.13757604701715,67.0823492459966,0.9261815077643003,1.0717672951355295,0.7805957199340134,2.858310436,3.92273834,1.424488806,1.95709134,0.4555625,
1,1056.5,-49.1375630540464,67.08239379300817,1.0687993179769724,1.2236756346417685,0.9139230014066734,2.858310436,3.92273834,1.424488806,1.95709134,0.5419502032155415,
1,1051.5,-49.137550061572,67.08243834001735,1.1924255256048795,1.3536722962400034,1.031178755617808,3.127429014,4.291818735,1.607426836,2.208180356,0.6260910551451271,
1,1046.5,-49.13753707184461,67.0824828870133,1.3091446297319458,1.4735180736650162,1.144771186395661,3.127429014,4.291818735,1.607426836,2.208180356,0.7055625,
1,1041.5,-49.137524113253995,67.08252743547028,1.413809433023014,1.5756467710026312,1.2519720945330364,3.465978034,4.756039673,1.783073521,2.449165688,0.8068669164255098,
1,1036.5,-49.13751117800125,67.08257198502233,1.5178289797250621,1.6793628813762995,1.3562950770738247,3.465978034,4.756039673,1.783073521,2.449165688,0.8618125,
1,1031.5,-49.1374982427485,67.08261653457437,1.6213348651879929,1.784335654439815,1.4583340749361704,3.806834572,5.223329394,1.875654325,2.576140812,0.88525,
1,1026.5,-49.13748534940551,67.08266108595733,1.723560297404747,1.8817018402056842,1.5654187540197724,3.806834572,5.223329394,1.875654325,2.576140812,0.9868125,
