lake_id,dist_along_track_m,lon,lat,manual,surrf_2024,RTE_Sentinel2_red,RTE_Landsat8_red_pan,watta
1,242.0,67.25959749401711,-72.9890154659454,0.0,0.0,0.0,0.0,
1,247.0,67.25957572470935,-72.989059825082,0.0,0.0,0.0,0.0,
1,252.0,67.25955426826451,-72.9891041980518,0.0,0.0,0.0,0.0,
1,257.0,67.25953316429656,-72.98914858660636,0.0,0.0,0.0,0.0,
1,262.0,67.25951233177364,-72.98919297499809,0.0,0.0,0.0,0.0,
1,267.0,67.25949177322691,-72.98923736322548,0.0,0.0,0.0,0.0,
1,272.0,67.2594716279534,-72.98928175133398,0.0,0.0,0.0,0.0,
1,277.0,67.25945185521812,-72.98932613933526,0.0,0.0,0.0,0.0,
1,282.0,67.25943166119038,-72.98937052458545,0.0,0.0,0.0,0.0,
1,287.0,67.25941086535674,-72.98941490590576,0.0,0.0,0.0,0.010655082438154804,
1,292.0,67.25938985310077,-72.98945929343991,0.0,0.0,0.0,0.04972302535762657,
1,297.0,67.25936833677837,-72.98950369544663,0.0,0.08042639757973076,0.0,0.08880370638850385,
1,302.0,67.25934707814834,-72.98954809700064,0.061039440455089994,0.35643344788997633,0.06681840210199487,0.12788398896188247,
1,307.0,67.25932637268575,-72.98959249758283,0.419128888308207,0.6464450363339074,0.34816119186332267,0.1669634161986784,0.17959966613028702
1,312.0,67.25930564672142,-72.98963688774654,0.7717094330047823,0.9207667461165656,0.6617834681894084,0.20603367354509616,0.5654335941695303
1,317.0,67.259284898256,-72.98968126647577,1.0272261363540427,1.170772097476126,0.8910359919238696,0.24509386675267344,0.9833496676316149
1,322.0,67.25926410620272,-72.98972565022063,1.2710505832262897,1.3902551673350816,1.080167379454218,0.2933556973523901,1.366372757067796
1,327.0,67.2592432706503,-72.98977003897096,1.471647847191991,1.5787275276067347,1.1598003609287002,0.3485292343484625,1.6164568348504438
1,332.0,67.2592225250792,-72.98981442574978,1.6080368146980966,1.7367269808466579,1.2283333820010611,0.40370032083803287,1.7777502429070464
1,337.0,67.25920186309813,-72.98985881069713,1.7052687594764464,1.8661356529543214,1.2691037137295693,0.45886913087863407,1.7955086689710298
1,342.0,67.25918107371001,-72.98990319864986,1.766606038293118,1.9703450324206289,1.3046115964480984,0.5140416764914684,1.8365300114171668
1,347.0,67.25916017345915,-72.9899475892177,1.81272608463982,2.0573173155205673,1.306207320307505,0.5692174725981499,1.8298300763212616
1,352.0,67.25913911077998,-72.98999196985613,1.8610161971621428,2.1369621620286243,1.3116577017528304,0.6242811533288145,1.8403392811148491
1,357.0,67.25911781330461,-72.99003633614122,1.926516683426747,2.2176122938928016,1.366271296400027,0.6702560844813581,2.1112236376763294
1,362.0,67.25909650062245,-72.99008070239931,2.022477493483943,2.3015074824633555,1.4140676340030225,0.714700917087458,2.3401644981746013
1,367.0,67.25907516670644,-72.99012506861975,2.1460556239555633,2.3877186769615295,1.4150418479738014,0.7591457119543416,2.312665203668561
1,372.0,67.25905382925481,-72.99016943446554,2.2623413277881843,2.472635887283789,1.4172503717125742,0.803590131514711,2.236613837011994
1,377.0,67.259032470896,-72.99021379809594,2.3365636594512216,2.5493958904609593,1.455145793072502,0.8329997370004152,2.4006831963150304
1,382.0,67.25901110910243,-72.9902581625147,2.3781546504826383,2.6064424030911866,1.4990351521354384,0.8395458811456135,2.7187098339397626
1,387.0,67.25898974290439,-72.99030252798917,2.392393727773885,2.6353812704454564,1.514555013101998,0.8460921810612209,2.7239529823284503
1,392.0,67.2589683837533,-72.99034689418394,2.391320302341154,2.638574866064425,1.5292783357544795,0.8526385872628152,2.4690870455735228
1,397.0,67.25894703370824,-72.99039126130951,2.3830127939902868,2.6195467371214396,1.538228922132041,0.8591851308063294,2.367388295591913
1,402.0,67.25892589543479,-72.99043562621338,2.3751123720914364,2.5826893499863686,1.5479576754448745,0.8657313465292047,2.3960079513611388
1,407.0,67.25890502734102,-72.99047998828279,2.360164646182943,2.5331943955193954,1.5477934320624431,0.8722771440162682,2.398560130345169
1,412.0,67.25888385426816,-72.99052435370947,2.3279946828785234,2.474204340119453,1.537872071026523,0.8706629156348943,2.4669925472062935
1,417.0,67.25886198268384,-72.99056872682552,2.279625979035972,2.4088694721810726,1.5285232446394734,0.8614347771903199,2.6021890763945215
1,422.0,67.25884041390123,-72.99061309449968,2.221752711277514,2.3424164485855394,1.5211574260420773,0.8522077704780407,2.5098475114637613
1,427.0,67.25881921832392,-72.99065745546666,2.14713791749781,2.2770093759776655,1.5100424074729097,0.8429821586341225,2.373347869795356
1,432.0,67.25879798567246,-72.9907018114932,2.0562445834763423,2.211952118098485,1.5000847176710834,0.8337575742420696,2.17747469740015
1,437.0,67.2587766724048,-72.99074615677691,1.9464920974136888,2.1537928951477707,1.4890215232113073,0.8245352240018491,1.893083150776644
1,442.0,67.25875537711202,-72.99079051862435,1.8526213567618686,2.1115073666235245,1.4788113932514284,0.8153699786807405,1.7874990537656041
1,447.0,67.25873411797866,-72.99083491379253,1.8026820817442817,2.089118453877424,1.4898691278958387,0.8480061442577007,1.808449345540147
1,452.0,67.25871289943049,-72.99087930149389,1.7896997469505993,2.0870229045485833,1.5143792881244758,0.8905977213917071,1.8378979103753763
1,457.0,67.25869176337297,-72.99092367401872,1.809592920762764,2.104992312087588,1.5381190522476975,0.933174736097069,1.8865828752431681
1,462.0,67.25867067775877,-72.99096804813861,1.8307014695820227,2.136276689368573,1.552788721006716,0.9757532813318435,1.8274002818774957
