Point_num,Latitude,Longitude,Distance along the transect (m),Depth,STD high,STD low
0,67.23700063,-48.99688602,0,0.000288293,0.001199955,-0.000623369
1,67.23712321,-48.99691924,13.72792946,0.12522777,0.192948634,0.057506906
2,67.2372458,-48.99695808,27.45585893,0.238369977,0.349219249,0.127520705
3,67.23736838,-48.99699375,41.18378839,0.333876599,0.47305337,0.194699828
4,67.23749096,-48.99702799,54.91171786,0.419125788,0.581306486,0.256945089
5,67.23761354,-48.997068,68.63964732,0.501197534,0.688103034,0.314292033
6,67.23773612,-48.99710459,82.36757679,0.597704295,0.802043617,0.393364973
7,67.2378587,-48.99713934,96.09550625,0.70560256,0.915767545,0.495437575
8,67.23798128,-48.99717652,109.8234357,0.812519653,1.02658219,0.598457115
9,67.23810386,-48.99721768,123.5513652,0.922393111,1.128472132,0.716314089
10,67.23822644,-48.99725276,137.2792946,1.034649673,1.235428912,0.833870434
11,67.23834902,-48.99729163,151.0072241,1.143300197,1.340427487,0.946172908
12,67.2384716,-48.99733174,164.7351536,1.253108914,1.44569584,1.060521989
13,67.23859418,-48.99736943,178.463083,1.359500699,1.546787057,1.172214341
14,67.23871676,-48.99741231,192.1910125,1.461987914,1.647783028,1.2761928
15,67.23883935,-48.99744882,205.918942,1.564473242,1.739514789,1.389431695
16,67.23896193,-48.99749092,219.6468714,1.665312247,1.82886743,1.501757064
17,67.23908451,-48.99752856,233.3748009,1.755354513,1.906102313,1.604606712
18,67.23920709,-48.99756633,247.1027304,1.840722016,1.983365544,1.698078489
19,67.23932967,-48.99760601,260.8306598,1.927199549,2.068995497,1.785403602
20,67.23945225,-48.99764239,274.5585893,2.015126739,2.158375929,1.871877549
21,67.23957483,-48.99768398,288.2865188,2.112426861,2.259799904,1.965053819
22,67.23969741,-48.99771817,302.0144482,2.214980396,2.363610859,2.066349932
23,67.23981999,-48.99775341,315.7423777,2.318423939,2.474535591,2.162312287
24,67.23994257,-48.99779188,329.4703072,2.414871971,2.578974222,2.25076972
25,67.24006515,-48.99782473,343.1982366,2.518679628,2.680482745,2.356876512
26,67.24018773,-48.99785804,356.9261661,2.633177996,2.775973871,2.49038212
27,67.24031032,-48.99789393,370.6540955,2.727024841,2.869525718,2.584523964
28,67.2404329,-48.99792766,384.382025,2.806919891,2.946230072,2.66760971
29,67.24055548,-48.99796041,398.1099545,2.872320242,3.008554803,2.73608568
30,67.24067806,-48.99799929,411.8378839,2.930590781,3.065812053,2.795369508
31,67.24080064,-48.99803045,425.5658134,2.976679239,3.110496062,2.842862417
32,67.24092322,-48.99806941,439.2937429,3.013863812,3.14747385,2.880253773
33,67.2410458,-48.99810262,453.0216723,3.043078126,3.173413598,2.912742653
34,67.24116838,-48.99813687,466.7496018,3.066995376,3.19355903,2.940431722
35,67.24129096,-48.99817471,480.4775313,3.087273136,3.208855901,2.96569037
36,67.24141354,-48.99820968,494.2054607,3.106451217,3.225061435,2.987841
37,67.24153612,-48.99824891,507.9333902,3.124204928,3.241892601,3.006517254
38,67.2416587,-48.99828979,521.6613197,3.141080576,3.258246584,3.023914568
39,67.24178128,-48.99832389,535.3892491,3.157252766,3.274886973,3.039618559
40,67.24190387,-48.99836494,549.1171786,3.166850762,3.28553384,3.048167683
41,67.24202645,-48.99840098,562.8451081,3.167103837,3.282611189,3.051596486
42,67.24214903,-48.99843682,576.5730375,3.163888323,3.275081998,3.052694649
43,67.24227161,-48.99847786,590.300967,3.15139566,3.266078042,3.036713277
44,67.24239419,-48.99851402,604.0288964,3.134040597,3.259779707,3.008301487
45,67.24251677,-48.99855429,617.7568259,3.115078914,3.251333435,2.978824393
46,67.24263935,-48.99859149,631.4847554,3.089168272,3.228509468,2.949827077
47,67.24276193,-48.99862836,645.2126848,3.059583184,3.200471998,2.918694371
48,67.24288451,-48.99866523,658.9406143,3.02351645,3.169358838,2.877674061
49,67.24300709,-48.99870395,672.6685438,2.971016683,3.132230958,2.809802407
50,67.24312967,-48.9987403,686.3964732,2.912317906,3.092772592,2.731863221
51,67.24325225,-48.99877575,700.1244027,2.835984782,3.040506904,2.63146266
52,67.24337483,-48.99881613,713.8523322,2.746157921,2.974122571,2.518193271
53,67.24349742,-48.99884866,727.5802616,2.668029391,2.910881081,2.4251777
54,67.24362,-48.99888708,741.3081911,2.599707387,2.844166106,2.355248668
55,67.24374258,-48.99892041,755.0361206,2.532677847,2.777080493,2.288275201
56,67.24386516,-48.9989595,768.76405,2.469718327,2.7171918,2.222244854
57,67.24398774,-48.99899134,782.4919795,2.412122521,2.665184042,2.159061
58,67.24411032,-48.99902962,796.2199089,2.359253908,2.621664889,2.096842928
59,67.2442329,-48.99906653,809.9478384,2.313132278,2.582013245,2.04425131
60,67.24435548,-48.99909969,823.6757679,2.262570665,2.54859778,1.976543549
61,67.24447806,-48.99913825,837.4036973,2.235166527,2.533311768,1.937021285
62,67.24460064,-48.99917166,851.1316268,2.218642765,2.524066792,1.913218739
63,67.24472322,-48.99920556,864.8595563,2.224629652,2.525192895,1.924066408
64,67.2448458,-48.99924514,878.5874857,2.331239065,2.630780819,2.031697312
65,67.24496839,-48.99927968,892.3154152,2.384800858,2.670914429,2.098687286
66,67.24509097,-48.99931582,906.0433447,2.425248354,2.692108805,2.158387904
67,67.24521355,-48.99935701,919.7712741,2.417030221,2.67779606,2.156264381
68,67.24533613,-48.99939277,933.4992036,2.419504401,2.682655597,2.156353205
69,67.24545871,-48.9994291,947.2271331,2.441517545,2.711831922,2.171203169
70,67.24558129,-48.99946557,960.9550625,2.464751999,2.746179843,2.183324155
71,67.24570387,-48.99950198,974.682992,2.478357693,2.770938379,2.185777007
72,67.24582645,-48.99953762,988.4109215,2.463778121,2.764645279,2.162910963
73,67.24594903,-48.99957646,1002.138851,2.41108482,2.726719859,2.095449781
74,67.24607161,-48.99961255,1015.86678,2.296907048,2.646195983,1.947618113
75,67.24619419,-48.99964765,1029.59471,2.141546461,2.497463596,1.785629325
76,67.24631677,-48.99968665,1043.322639,1.914930559,2.280026385,1.549834733
77,67.24643935,-48.99971823,1057.050569,1.797867807,2.156362185,1.439373429
78,67.24656194,-48.99975696,1070.778498,1.733238814,2.079594384,1.386883244
79,67.24668452,-48.99978984,1084.506428,1.696625695,2.01401021,1.37924118
80,67.2468071,-48.99982755,1098.234357,1.667011026,1.967764378,1.366257673
81,67.24692968,-48.99985874,1111.962287,1.639767764,1.925391829,1.354143699
82,67.24705226,-48.99989649,1125.690216,1.622102854,1.876089739,1.368115968
83,67.24717484,-48.99993048,1139.418146,1.618009345,1.834292903,1.401725786
84,67.24729742,-48.99996684,1153.146075,1.619764734,1.794531953,1.444997514
85,67.24742,-49.00000542,1166.874004,1.62488414,1.759034991,1.490733289
86,67.24754258,-49.00003789,1180.601934,1.629490746,1.726929337,1.532052155
87,67.24766516,-49.0000768,1194.329863,1.613034239,1.699950218,1.526118259
88,67.24778774,-49.0001099,1208.057793,1.572137225,1.666126351,1.4781481
89,67.24791032,-49.00014532,1221.785722,1.485056587,1.614745883,1.355367291
90,67.2480329,-49.00018493,1235.513652,1.343367952,1.542383942,1.144351963
91,67.24815549,-49.00022009,1249.241581,1.135768298,1.422015537,0.849521059
92,67.24827807,-49.00025673,1262.969511,1.002252526,1.273115047,0.731390006
93,67.24840065,-49.00029424,1276.69744,0.922520121,1.147037901,0.698002342
94,67.24852323,-49.00033415,1290.42537,0.780569014,0.9811225,0.580015528
95,67.24864581,-49.00037259,1304.153299,0.648876273,0.899582967,0.39816958
96,67.24876839,-49.00041072,1317.881229,0.502093468,0.80005273,0.204134205
97,67.24889097,-49.00044995,1331.609158,0.355268845,0.666567194,0.043970496
98,67.2489959,-49.00048782,1345.337088,0.095391714,0.172854517,0.017928911
99,67.2489959,-49.00048782,1359.065017,0.000288293,0.237146337,-0.236569752
