DIST_green,Green_z_lit,Z_green,DIST_green_uncert,Z_green_min_stdev_mean,Z_green_max_stdev_mean,DIST_red,Red_z_lit,Z_red,DIST_red_uncert,Z_red_min_stdev_mean,Z_red_max_stdev_mean,DIST_dem,DEM_zeroed,DIST_along_transect_corrected_IS2,Manual_depths_IS2,STD_high,STD_low,,green - dem,red - dem,average(g - dem),average(r - dem)
0,-1.686425787,-1.226530444,0,-0.000879919,2.224537267,0,-0.318154302,-0.231406978,0,-0.073887827,0.39561489,0,0.1094875,0,0.022908061,0.095349711,-0.049533589,,-1.336017944,-0.340894478,1.331710471,-2.250303415
0.69961917,-1.686425787,-1.226530444,0.700661822,-0.000879919,2.224537267,0.69961917,-0.318154302,-0.231406978,0.700661822,-0.073887827,0.39561489,0.69961917,0.1094875,9.497860253,0.407773507,0.518769226,0.296777788,,-1.336017944,-0.340894478,,
1.399238341,-1.686425787,-1.226530444,1.401323644,-0.000879919,2.224537267,1.399238341,-0.318154302,-0.231406978,1.401323644,-0.073887827,0.39561489,1.399238341,0.1094875,18.99572051,0.760352612,0.926429798,0.594275425,,-1.336017944,-0.340894478,,
2.098857511,-1.686425787,-1.226530444,2.101985466,-0.000879919,2.224537267,2.098857511,-0.318154302,-0.231406978,2.101985466,-0.073887827,0.39561489,2.098857511,0.1798,28.49358076,1.053701376,1.225629196,0.881773556,,-1.406330444,-0.411206978,,
2.798476682,-1.686425787,-1.226530444,2.802647288,-0.000879919,2.224537267,2.798476682,-0.318154302,-0.231406978,2.802647288,-0.073887827,0.39561489,2.798476682,0.1798,37.99144101,1.320775023,1.501014197,1.140535849,,-1.406330444,-0.411206978,,
3.498095852,-1.686425787,-1.226530444,3.50330911,0.027791149,2.255011179,3.498095852,-0.318154302,-0.231406978,3.50330911,-0.057869739,0.412342648,3.498095852,0.1798,47.48930126,1.558613176,1.732677611,1.384548741,,-1.406330444,-0.411206978,,
4.197715022,-1.686425787,-1.226530444,4.203970931,0.027791149,2.255011179,4.197715022,-0.318154302,-0.231406978,4.203970931,-0.057869739,0.412342648,4.197715022,0.21105,56.98716152,1.79114778,1.956181274,1.626114287,,-1.437580444,-0.442456978,,
4.897334193,-1.686425787,-1.226530444,4.904632753,0.027791149,2.255011179,4.897334193,-0.318154302,-0.231406978,4.904632753,-0.057869739,0.412342648,4.897334193,0.21105,66.48502177,2.020029426,2.171649397,1.868409454,,-1.437580444,-0.442456978,,
5.596953363,-1.686425787,-1.226530444,5.605294575,0.027791149,2.255011179,5.596953363,-0.318154302,-0.231406978,5.605294575,-0.057869739,0.412342648,5.596953363,0.21105,75.98288202,2.234203373,2.378923404,2.089483342,,-1.437580444,-0.442456978,,
6.296572533,-1.511779305,-1.099511235,6.305956397,0.027791149,2.255011179,6.296572533,-0.298388691,-0.217030779,6.305956397,-0.057869739,0.412342648,6.296572533,0.2657375,85.48074227,2.446481785,2.586531046,2.306432524,,-1.365248735,-0.482768279,,
6.996191704,-1.511779305,-1.099511235,7.006618219,0.027791149,2.255011179,6.996191704,-0.298388691,-0.217030779,7.006618219,-0.057869739,0.412342648,6.996191704,0.2657375,94.97860253,2.656689075,2.804354394,2.509023755,,-1.365248735,-0.482768279,,
7.695810874,-1.511779305,-1.099511235,7.707280041,0.027791149,2.255011179,7.695810874,-0.298388691,-0.217030779,7.707280041,-0.057869739,0.412342648,7.695810874,0.2657375,104.4764628,2.865212439,3.032165406,2.698259472,,-1.365248735,-0.482768279,,
8.395430045,-1.511779305,-1.099511235,8.407941863,0.027791149,2.255011179,8.395430045,-0.298388691,-0.217030779,8.407941863,-0.057869739,0.412342648,8.395430045,0.320425,113.974323,3.070189898,3.244899381,2.895480415,,-1.419936235,-0.537455779,,
9.095049215,-1.511779305,-1.099511235,9.108603685,0.027791149,2.255011179,9.095049215,-0.298388691,-0.217030779,9.108603685,-0.057869739,0.412342648,9.095049215,0.320425,123.4721833,3.279006853,3.425706316,3.13230739,,-1.419936235,-0.537455779,,
9.794668385,-1.511779305,-1.099511235,9.809265507,0.027791149,2.255011179,9.794668385,-0.298388691,-0.217030779,9.809265507,-0.057869739,0.412342648,9.794668385,0.320425,132.9700435,3.473688607,3.607649786,3.339727428,,-1.419936235,-0.537455779,,
10.49428756,-1.511779305,-1.099511235,10.50992733,0.027791149,2.255011179,10.49428756,-0.298388691,-0.217030779,10.50992733,-0.057869739,0.412342648,10.49428756,0.382925,142.4679038,3.658340126,3.786137731,3.530542522,,-1.482436235,-0.599955779,,
11.19390673,-1.511779305,-1.099511235,11.21058915,0.027791149,2.255011179,11.19390673,-0.298388691,-0.217030779,11.21058915,-0.057869739,0.412342648,11.19390673,0.382925,151.965764,3.829528141,3.959938546,3.699117735,,-1.482436235,-0.599955779,,
