Point_num,Latitude,Longitude,Distance along the transect (m),Depth,STD high,STD low
0,67.82649291,-48.9117781,0,0.022908061,0.095349711,-0.049533589
1,67.82657688,-48.91175095,9.497860253,0.407773507,0.518769226,0.296777788
2,67.82666086,-48.91172421,18.99572051,0.760352612,0.926429798,0.594275425
3,67.82674484,-48.91169816,28.49358076,1.053701376,1.225629196,0.881773556
4,67.82682882,-48.91167208,37.99144101,1.320775023,1.501014197,1.140535849
5,67.8269128,-48.9116442,47.48930126,1.558613176,1.732677611,1.384548741
6,67.82699678,-48.91161836,56.98716152,1.79114778,1.956181274,1.626114287
7,67.82708076,-48.91159216,66.48502177,2.020029426,2.171649397,1.868409454
8,67.82716474,-48.91156492,75.98288202,2.234203373,2.378923404,2.089483342
9,67.82724871,-48.91153845,85.48074227,2.446481785,2.586531046,2.306432524
10,67.82733269,-48.91151244,94.97860253,2.656689075,2.804354394,2.509023755
11,67.82741667,-48.91148472,104.4764628,2.865212439,3.032165406,2.698259472
12,67.82750065,-48.91145899,113.974323,3.070189898,3.244899381,2.895480415
13,67.82758463,-48.91143318,123.4721833,3.279006853,3.425706316,3.13230739
14,67.82766861,-48.91140733,132.9700435,3.473688607,3.607649786,3.339727428
15,67.82775259,-48.91137986,142.4679038,3.658340126,3.786137731,3.530542522
16,67.82783657,-48.91135423,151.965764,3.829528141,3.959938546,3.699117735
17,67.82792055,-48.91132848,161.4636243,4.018772246,4.14743533,3.890109162
18,67.82800452,-48.91130294,170.9614845,4.176328667,4.312164237,4.040493097
19,67.8280885,-48.91127745,180.4593448,4.312948678,4.455079449,4.170817908
20,67.82817248,-48.91125027,189.9572051,4.443644511,4.595027848,4.292261173
21,67.82825646,-48.91122467,199.4550653,4.57111586,4.728596667,4.413635053
22,67.82834044,-48.91119932,208.9529256,4.698193055,4.861985494,4.534400617
23,67.82842442,-48.91117402,218.4507858,4.831363888,5.005246234,4.657481541
24,67.8285084,-48.91114715,227.9486461,4.973246893,5.160531784,4.785962002
25,67.82859238,-48.91112179,237.4465063,5.117033605,5.308636564,4.925430646
26,67.82867635,-48.91109642,246.9443666,5.269577312,5.433645863,5.105508761
27,67.82876033,-48.91107126,256.4422268,5.405031395,5.551526426,5.258536364
28,67.82884431,-48.91104614,265.9400871,5.531367258,5.668467258,5.394267257
29,67.82892829,-48.91101941,275.4379473,5.655432358,5.785963731,5.524900986
30,67.82901227,-48.91099402,284.9358076,5.778425821,5.902838239,5.654013404
31,67.82909625,-48.91096728,294.4336678,5.895931236,6.017004819,5.774857653
32,67.82918023,-48.91094388,303.9315281,6.010715033,6.12894812,5.892481946
33,67.82926421,-48.91091727,313.4293883,6.124693752,6.240896999,6.008490505
34,67.82934818,-48.91089257,322.9272486,6.237308656,6.353793597,6.120823716
35,67.82943216,-48.91086721,332.4251088,6.348910639,6.467334335,6.230486943
36,67.82951614,-48.91083999,341.9229691,6.456129068,6.579590062,6.332668074
37,67.82960012,-48.91081489,351.4208293,6.557403991,6.685423228,6.429384753
38,67.8296841,-48.91078975,360.9186896,6.657287207,6.787821513,6.526752901
39,67.82976808,-48.91076262,370.4165498,6.756786988,6.89053574,6.623038235
40,67.82985206,-48.91073735,379.9144101,6.850749257,6.987891597,6.713606917
41,67.82993604,-48.91071201,389.4122704,6.943566731,7.083665108,6.803468355
42,67.83002002,-48.91068491,398.9101306,7.03887289,7.180776186,6.896969594
43,67.83010399,-48.91065912,408.4079909,7.134437749,7.279698185,6.989177313
44,67.83018797,-48.91063218,417.9058511,7.23026059,7.370824519,7.08969666
45,67.83027195,-48.91060643,427.4037114,7.321250781,7.459061536,7.183440027
46,67.83035593,-48.91058003,436.9015716,7.407228512,7.546108607,7.268348416
47,67.83043991,-48.91055214,446.3994319,7.490145521,7.632770386,7.347520655
48,67.83052389,-48.91052592,455.8972921,7.567959739,7.712846796,7.423072682
49,67.83060787,-48.91049925,465.3951524,7.644524402,7.793455518,7.495593286
50,67.83069185,-48.91047077,474.8930126,7.718343656,7.871773965,7.564913346
51,67.83077582,-48.91044457,484.3908729,7.782802247,7.937049195,7.628555299
52,67.8308598,-48.91041772,493.8887331,7.835304276,7.992633547,7.677975004
53,67.83094378,-48.91038913,503.3865934,7.871710182,8.016300767,7.727119597
54,67.83102776,-48.91036307,512.8844536,7.892961101,8.028596424,7.757325777
55,67.83111174,-48.91033605,522.3823139,7.903853139,8.026148706,7.781557571
56,67.83119572,-48.91030754,531.8801741,7.898008688,8.002175115,7.793842262
57,67.8312797,-48.91028117,541.3780344,7.88111723,7.988801155,7.773433304
58,67.83136368,-48.91025512,550.8758946,7.846015289,7.985239912,7.706790667
59,67.83144766,-48.91022861,560.3737549,7.717559221,7.929336889,7.505781554
60,67.83153163,-48.91020054,569.8716152,7.551376758,7.836688977,7.26606454
61,67.83161561,-48.91017462,579.3694754,7.389481655,7.681372776,7.097590535
62,67.83169959,-48.91014887,588.8673357,7.215021846,7.512851944,6.917191748
63,67.83178357,-48.91012327,598.3651959,6.990075399,7.243960077,6.73619072
64,67.83186755,-48.91009741,607.8630562,6.786097443,7.01577395,6.556420936
65,67.83195153,-48.9100727,617.3609164,6.602563721,6.812087133,6.39304031
66,67.83203551,-48.91004813,626.8587767,6.427040597,6.629688069,6.224393126
67,67.83211949,-48.91002207,636.3566369,6.244225474,6.448096175,6.040354773
68,67.83220346,-48.90999775,645.8544972,6.049451465,6.246138615,5.852764316
69,67.83228744,-48.90997322,655.3523574,5.844100319,6.036378131,5.651822506
