DIST_green,Z_green,Z_green_min_Ad,Z_green_max_Ad,DIST_red,Z_red,Z_red_min_Ad,Z_red_max_Ad,DIST_dem,DEM_uncorrected_z,Z_corrected_dem,DIST_along_transect_corrected_IS2,Manual_depths_IS2,STD_high,STD_low,,DEM_first_zero
18.89576033,1.077732801,-3.378702879,4.410332203,18.89576033,0.371211678,-1.045500636,1.132650375,53.93876576,1241.9376,0.73685,229.7393622,2.614941805,2.710390654,2.519492957,,1.1681
19.59560331,2.317593098,-2.138842583,5.650192261,19.59560331,0.807522178,-0.609190166,1.568960786,55.936517,1241.7497,0.92475,238.2482274,2.662514941,2.760302482,2.564727399,,1.356
20.29544628,2.317593098,-2.138842583,5.650192261,20.29544628,0.807522178,-0.609190166,1.568960786,57.93424966,1241.5958,1.07865,246.7570927,2.720776861,2.808875545,2.632678177,,1.5099
20.99528926,2.317593098,-2.138842583,5.650192261,20.99528926,0.807522178,-0.609190166,1.568960786,59.9320009,1241.8205,0.85395,255.265958,2.775398798,2.85889892,2.691898676,,1.2852
21.69513223,2.317593098,-2.138842583,5.650192261,21.69513223,0.807522178,-0.609190166,1.568960786,61.92973357,1241.9788,0.69565,263.7748232,2.81508527,2.888017746,2.742152794,,1.1269
22.39497521,2.317593098,-2.138842583,5.650192261,22.39497521,0.807522178,-0.609190166,1.568960786,63.92748481,1242.1409,0.53355,272.2836885,2.850137445,2.915612391,2.7846625,,0.9648
23.09481819,2.317593098,-2.138842583,5.650192261,23.09481819,0.807522178,-0.609190166,1.568960786,65.92521747,1242.1942,0.48025,280.7925538,2.875734346,2.941325345,2.810143346,,0.9115
23.79466116,2.317593098,-2.138842583,5.650192261,23.79466116,0.807522178,-0.609190166,1.568960786,67.92296871,1242.22,0.45445,289.301419,2.897073588,2.969956916,2.82419026,,0.8857
24.49450414,2.317593098,-2.138842583,5.650192261,24.49450414,0.807522178,-0.609190166,1.568960786,69.92070138,1242.2151,0.45935,297.8102843,2.920776741,2.994157125,2.847396357,,0.8906
25.19434711,2.317593098,-2.138842583,5.650192261,25.19434711,0.807522178,-0.609190166,1.568960786,71.91845261,1242.1023,0.57215,306.3191496,2.944493954,3.013082545,2.875905362,,1.0034
25.89419009,2.317593098,-2.138842583,5.650192261,25.89419009,0.807522178,-0.609190166,1.568960786,73.91610559,1242.0059,0.66855,314.8280148,2.956904211,3.02697984,2.886828581,,1.0998
26.59403306,2.317593098,-2.138842583,5.650192261,26.59403306,0.807522178,-0.609190166,1.568960786,75.91383825,1241.9236,0.75085,323.3368801,2.959566641,3.028210491,2.890922791,,1.1821
27.29387604,2.317593098,-2.138842583,5.650192261,27.29387604,0.807522178,-0.609190166,1.568960786,77.91158949,1241.8248,0.84965,331.8457454,2.957354171,3.028529665,2.886178677,,1.2809
27.99371901,2.317593098,-2.138842583,5.650192261,27.99371901,0.807522178,-0.609190166,1.568960786,79.90932216,1241.7084,0.96605,340.3546106,2.952874557,3.027173302,2.878575812,,1.3973
28.69356199,2.317593098,-2.138842583,5.650192261,28.69356199,0.807522178,-0.609190166,1.568960786,81.90707339,1241.5644,1.11005,348.8634759,2.948322225,3.026449986,2.870194464,,1.5413
29.39340496,2.317593098,-2.138842583,5.650192261,29.39340496,0.807522178,-0.609190166,1.568960786,83.90480606,1241.5148,1.15965,357.3723412,2.935258501,3.024017266,2.846499735,,1.5909
30.09324794,2.271561861,-2.184873819,5.604161263,30.09324794,0.851450741,-0.565261662,1.61288929,85.9025573,1241.5113,1.16315,365.8812064,2.920638251,3.021768953,2.81950755,,1.5944
30.79309091,2.271561861,-2.184873819,5.604161263,30.79309091,0.851450741,-0.565261662,1.61288929,87.90028996,1241.4614,1.21305,374.3900717,2.903281896,3.019641221,2.786922572,,1.6443
31.49293389,2.271561861,-2.184873819,5.604161263,31.49293389,0.851450741,-0.565261662,1.61288929,89.8980412,1241.3345,1.33995,382.898937,2.883434828,3.015316982,2.751552675,,1.7712
32.19277686,2.271561861,-2.184873819,5.604161263,32.19277686,0.851450741,-0.565261662,1.61288929,91.89579243,1241.3084,1.36605,391.4078022,2.862493857,3.010996447,2.713991267,,1.7973
32.89261984,2.271561861,-2.184873819,5.604161263,32.89261984,0.851450741,-0.565261662,1.61288929,93.8935251,1241.4102,1.26425,399.9166675,2.840752056,3.004450372,2.677053741,,1.6955
33.59246282,2.271561861,-2.184873819,5.604161263,33.59246282,0.851450741,-0.565261662,1.61288929,95.89117808,1241.5799,1.09455,408.4255327,2.81820146,2.995319098,2.641083821,,1.5258
34.29230579,2.271561861,-2.184873819,5.604161263,34.29230579,0.851450741,-0.565261662,1.61288929,97.88891075,1241.8082,0.86625,416.934398,2.789747697,2.980170222,2.599325171,,1.2975
34.99214877,2.271561861,-2.184873819,5.604161263,34.99214877,0.851450741,-0.565261662,1.61288929,99.88666198,1241.9618,0.71265,425.4432633,2.754655615,2.956908765,2.552402464,,1.1439
35.69199174,2.271561861,-2.184873819,5.604161263,35.69199174,0.851450741,-0.565261662,1.61288929,101.8843946,1241.9437,0.73075,433.9521285,2.70601284,2.910022015,2.502003665,,1.162
36.39183472,2.271561861,-2.184873819,5.604161263,36.39183472,0.851450741,-0.565261662,1.61288929,103.8821459,1241.7543,0.92015,442.4609938,2.651538418,2.857698349,2.445378487,,1.3514
37.09167769,2.271561861,-2.184873819,5.604161263,37.09167769,0.851450741,-0.565261662,1.61288929,105.8798785,1241.5348,1.13965,450.9698591,2.608223913,2.820925391,2.395522436,,1.5709
37.79152067,2.271561861,-2.184873819,5.604161263,37.79152067,0.851450741,-0.565261662,1.61288929,107.8776298,1241.5346,1.13985,459.4787243,2.596040969,2.791960625,2.400121312,,1.5711
38.49136364,2.271561861,-2.184873819,5.604161263,38.49136364,0.851450741,-0.565261662,1.61288929,109.8753625,1241.6925,0.98195,467.9875896,2.597264706,2.776211275,2.418318137,,1.4132
39.19120662,2.271561861,-2.184873819,5.604161263,39.19120662,0.851450741,-0.565261662,1.61288929,111.8731137,1241.7616,0.91285,476.4964549,2.611720851,2.770327535,2.453114168,,1.3441
39.89104959,1.955910802,-2.500525713,5.288509369,39.89104959,0.840847969,-0.575864315,1.602286577,113.8708649,1241.6441,1.03035,485.0053201,2.623473883,2.767741137,2.479206629,,1.4616
40.59089257,1.955910802,-2.500525713,5.288509369,40.59089257,0.840847969,-0.575864315,1.602286577,115.8684993,1241.5086,1.16585,493.5141854,2.630504212,2.762464473,2.498543951,,1.5971
41.29073554,1.955910802,-2.500525713,5.288509369,41.29073554,0.840847969,-0.575864315,1.602286577,117.8662506,1241.4663,1.20815,502.0230507,2.625237429,2.752774434,2.497700425,,1.6394
41.99057852,1.955910802,-2.500525713,5.288509369,41.99057852,0.840847969,-0.575864315,1.602286577,119.8639832,1241.4864,1.18805,510.5319159,2.599151371,2.738777071,2.459525671,,1.6193
42.69042149,1.955910802,-2.500525713,5.288509369,42.69042149,0.840847969,-0.575864315,1.602286577,121.8617345,1241.4981,1.17635,519.0407812,2.572053552,2.725597365,2.418509739,,1.6076
43.39026447,1.955910802,-2.500525713,5.288509369,43.39026447,0.840847969,-0.575864315,1.602286577,123.8594671,1241.4977,1.17675,527.5496465,2.534890046,2.686507785,2.383272306,,1.608
44.09010745,1.955910802,-2.500525713,5.288509369,44.09010745,0.840847969,-0.575864315,1.602286577,125.8572184,1241.4658,1.20865,536.0585117,2.471135667,2.603318162,2.338953172,,1.6399
44.78995042,1.955910802,-2.500525713,5.288509369,44.78995042,0.840847969,-0.575864315,1.602286577,127.854951,1241.3767,1.29775,544.567377,2.412021047,2.543802083,2.280240012,,1.729
45.4897934,1.955910802,-2.500525713,5.288509369,45.4897934,0.840847969,-0.575864315,1.602286577,129.8527023,1241.1919,1.48255,553.0762423,2.339170609,2.479019522,2.199321695,,1.9138
46.18963637,1.955910802,-2.500525713,5.288509369,46.18963637,0.840847969,-0.575864315,1.602286577,131.8504535,1241.0457,1.62875,561.5851075,2.267246552,2.418039968,2.116453136,,2.06
46.88947935,1.955910802,-2.500525713,5.288509369,46.88947935,0.840847969,-0.575864315,1.602286577,133.8481862,1240.978,1.69645,570.0939728,2.198278583,2.347187975,2.049369191,,2.1277
47.58932232,1.955910802,-2.500525713,5.288509369,47.58932232,0.840847969,-0.575864315,1.602286577,135.8459374,1241.1455,1.52895,578.6028381,2.14681323,2.290566168,2.003060292,,1.9602
48.2891653,1.955910802,-2.500525713,5.288509369,48.2891653,0.840847969,-0.575864315,1.602286577,137.8435718,1241.3358,1.33865,587.1117033,2.104562682,2.240726778,1.968398586,,1.7699
48.98900827,1.955910802,-2.500525713,5.288509369,48.98900827,0.840847969,-0.575864315,1.602286577,139.8413231,1241.5093,1.16515,595.6205686,2.058101553,2.191182411,1.925020694,,1.5964
49.68885125,1.955910802,-2.500525713,5.288509369,49.68885125,0.840847969,-0.575864315,1.602286577,141.8390557,1241.4365,1.23795,604.1294339,2.021203113,2.150796355,1.891609872,,1.6692
50.38869422,2.191777468,-2.264658689,5.524376392,50.38869422,1.022581577,-0.394130707,1.784020305,143.836807,1241.2253,1.44915,612.6382991,1.989571347,2.111365141,1.867777553,,1.8804
51.0885372,2.191777468,-2.264658689,5.524376392,51.0885372,1.022581577,-0.394130707,1.784020305,145.8345396,1241.0661,1.60835,621.1471644,1.958516175,2.072958049,1.844074301,,2.0396
51.78838017,2.191777468,-2.264658689,5.524376392,51.78838017,1.022581577,-0.394130707,1.784020305,147.8322909,1241.0361,1.63835,629.6560297,1.927818166,2.034969727,1.820666604,,2.0696
52.48822315,2.191777468,-2.264658689,5.524376392,52.48822315,1.022581577,-0.394130707,1.784020305,149.8300421,1241.1096,1.56485,638.1648949,1.895487267,1.997643661,1.793330874,,1.9961
53.18806612,2.191777468,-2.264658689,5.524376392,53.18806612,1.022581577,-0.394130707,1.784020305,151.8277748,1241.1178,1.55665,646.6737602,1.862453374,1.96203895,1.762867799,,1.9879
53.8879091,2.191777468,-2.264658689,5.524376392,53.8879091,1.022581577,-0.394130707,1.784020305,153.825526,1241.0781,1.59635,655.1826254,1.836550786,1.936290838,1.736810734,,2.0276
54.58775207,2.191777468,-2.264658689,5.524376392,54.58775207,1.022581577,-0.394130707,1.784020305,155.8232587,1241.0296,1.64485,663.6914907,1.813220242,1.913619456,1.712821027,,2.0761
55.28759505,2.191777468,-2.264658689,5.524376392,55.28759505,1.022581577,-0.394130707,1.784020305,157.8209116,1240.934,1.74045,672.200356,1.792822198,1.893985758,1.691658637,,2.1717
55.98743803,2.191777468,-2.264658689,5.524376392,55.98743803,1.022581577,-0.394130707,1.784020305,159.8186443,1240.9974,1.67705,680.7092212,1.771188862,1.869833515,1.672544209,,2.1083
56.687281,2.191777468,-2.264658689,5.524376392,56.687281,1.022581577,-0.394130707,1.784020305,161.8163955,1241.0936,1.58085,689.2180865,1.745317086,1.843845132,1.646789041,,2.0121
57.38712398,2.191777468,-2.264658689,5.524376392,57.38712398,1.022581577,-0.394130707,1.784020305,163.8141282,1241.2391,1.43535,697.7269518,1.714282165,1.81453918,1.614025149,,1.8666
58.08696695,2.191777468,-2.264658689,5.524376392,58.08696695,1.022581577,-0.394130707,1.784020305,165.8118795,1241.1854,1.48905,706.235817,1.67234819,1.78297039,1.56172599,,1.9203
58.78680993,2.191777468,-2.264658689,5.524376392,58.78680993,1.022581577,-0.394130707,1.784020305,167.8096307,1241.1758,1.49865,714.7446823,1.627143889,1.749979933,1.504307844,,1.9299
59.4866529,2.191777468,-2.264658689,5.524376392,59.4866529,1.022581577,-0.394130707,1.784020305,169.8073634,1241.1816,1.49285,723.2535476,1.567535528,1.693525445,1.44154561,,1.9241
60.18649588,2.110715389,-2.345721483,5.443313599,60.18649588,1.079377055,-0.337335348,1.840815663,171.8051146,1241.1169,1.55755,731.7624128,1.49858821,1.625837121,1.371339299,,1.9888
60.88633885,2.110715389,-2.345721483,5.443313599,60.88633885,1.079377055,-0.337335348,1.840815663,173.8028473,1241.0242,1.65025,740.2712781,1.432670001,1.565523834,1.299816168,,2.0815
61.58618183,2.110715389,-2.345721483,5.443313599,61.58618183,1.079377055,-0.337335348,1.840815663,175.8005985,1241.0038,1.67065,748.7801434,1.372646956,1.515477143,1.229816768,,2.1019
62.2860248,2.110715389,-2.345721483,5.443313599,62.2860248,1.079377055,-0.337335348,1.840815663,177.7983312,1240.9894,1.68505,757.2890086,1.309542387,1.466326052,1.152758722,,2.1163
62.98586778,2.110715389,-2.345721483,5.443313599,62.98586778,1.079377055,-0.337335348,1.840815663,179.7959841,1240.9336,1.74085,765.7978739,1.235132248,1.407371366,1.062893131,,2.1721
63.68571075,2.110715389,-2.345721483,5.443313599,63.68571075,1.079377055,-0.337335348,1.840815663,181.7937168,1240.9275,1.74695,774.3067392,1.159709599,1.345583659,0.97383554,,2.1782
64.38555373,2.110715389,-2.345721483,5.443313599,64.38555373,1.079377055,-0.337335348,1.840815663,183.791468,1240.942,1.73245,782.8156044,1.060192911,1.268466987,0.851918835,,2.1637
65.0853967,2.110715389,-2.345721483,5.443313599,65.0853967,1.079377055,-0.337335348,1.840815663,185.7892193,1240.9003,1.77415,791.3244697,0.95088456,1.195903235,0.705865884,,2.2054
65.78523968,2.110715389,-2.345721483,5.443313599,65.78523968,1.079377055,-0.337335348,1.840815663,187.7869519,1240.7586,1.91585,799.833335,0.870677751,1.166510734,0.574844769,,2.3471
66.48508266,2.219022751,-2.237413645,5.551621437,66.48508266,1.153373122,-0.263339221,1.91481173,189.7847032,1240.6308,2.04365,808.3422002,0.714315487,1.020773546,0.407857427,,2.4749
67.18492563,2.219022751,-2.237413645,5.551621437,67.18492563,1.153373122,-0.263339221,1.91481173,191.7824358,1240.5907,2.08375,816.8510655,0.525842631,0.798005812,0.25367945,,2.515
67.88476861,2.219022751,-2.237413645,5.551621437,67.88476861,1.153373122,-0.263339221,1.91481173,193.7801871,1240.6261,2.04835,825.3599308,0.314815792,0.468402196,0.161229389,,2.4796
68.58461158,2.219022751,-2.237413645,5.551621437,68.58461158,1.153373122,-0.263339221,1.91481173,195.7779197,1240.6734,2.00105,833.868796,0.180577494,0.293779778,0.067375209,,2.4323
69.28445456,2.219022751,-2.237413645,5.551621437,69.28445456,1.153373122,-0.263339221,1.91481173,197.775671,1240.7234,1.95105,842.3776613,0.011131113,0.045573217,-0.02331099,,2.3823
69.98429753,2.373261213,-2.083175182,5.705859661,69.98429753,1.271474004,-0.14523828,2.032912731,199.7733054,1240.7813,1.89315,,,,,,2.3244
70.68414051,2.373261213,-2.083175182,5.705859661,70.68414051,1.271474004,-0.14523828,2.032912731,201.7710566,1240.8248,1.84965,,,,,,2.2809
71.38398348,2.373261213,-2.083175182,5.705859661,71.38398348,1.271474004,-0.14523828,2.032912731,203.7688079,1240.764,1.91045,,,,,,2.3417
72.08382646,2.373261213,-2.083175182,5.705859661,72.08382646,1.271474004,-0.14523828,2.032912731,205.7665405,1240.599,2.07545,,,,,,2.5067
72.78366943,2.373261213,-2.083175182,5.705859661,72.78366943,1.271474004,-0.14523828,2.032912731,207.7642918,1240.3847,2.28975,,,,,,2.721
73.48351241,2.373261213,-2.083175182,5.705859661,73.48351241,1.271474004,-0.14523828,2.032912731,209.7620244,1240.2569,2.41755,,,,,,2.8488
74.18335538,2.373261213,-2.083175182,5.705859661,74.18335538,1.271474004,-0.14523828,2.032912731,211.7597757,1240.2577,2.41675,,,,,,2.848
74.88319836,2.373261213,-2.083175182,5.705859661,74.88319836,1.271474004,-0.14523828,2.032912731,213.7575083,1240.2914,2.38305,,,,,,2.8143
