Point_num,Latitude,Longitude,Distance along the transect (m),Depth,STD high,STD low
0,67.27853743,-49.00352297,0,0.000781736,0.003253803,-0.001690331
1,67.27861488,-49.00350016,8.77579501,0.087009409,0.113795875,0.060222944
2,67.27869234,-49.00347732,17.55159002,0.17004123,0.217803231,0.122279229
3,67.27876979,-49.0034526,26.32738503,0.250926507,0.315738748,0.186114267
4,67.27884725,-49.00342748,35.10318004,0.337156659,0.426561568,0.247751749
5,67.27892471,-49.00340697,43.87897505,0.442705048,0.558662104,0.326747993
6,67.27900216,-49.00338412,52.65477006,0.553542807,0.689852627,0.417232986
7,67.27907962,-49.00335928,61.43056507,0.666315939,0.822393401,0.510238478
8,67.27915707,-49.00333424,70.20636008,0.787024507,0.950073012,0.623976002
9,67.27923453,-49.00330883,78.98215509,0.902365437,1.062913561,0.741817313
10,67.27931198,-49.00329772,87.7579501,1.009226774,1.176175022,0.842278526
11,67.27938944,-49.00326602,96.53374511,1.121249558,1.295979415,0.946519702
12,67.2794669,-49.00324059,105.3095401,1.239687909,1.420598344,1.058777475
13,67.27954435,-49.00322759,114.0853351,1.376969218,1.553728854,1.200209582
14,67.27962181,-49.00319388,122.8611301,1.52313602,1.670867324,1.375404717
15,67.27969926,-49.00316882,131.6369252,1.662960022,1.786521167,1.539398876
16,67.27977672,-49.00314778,140.4127202,1.792774715,1.892099237,1.693450194
17,67.27985417,-49.00311445,149.1885152,1.910788159,1.991712245,1.829864073
18,67.27993163,-49.00309892,157.9643102,2.017549803,2.090986847,1.944112758
19,67.28000909,-49.00307195,166.7401052,2.121667115,2.19429856,2.04903567
20,67.28008654,-49.00304547,175.5159002,2.218946753,2.291927047,2.14596646
21,67.280164,-49.00302463,184.2916952,2.311309475,2.380751664,2.241867286
22,67.28024145,-49.00300157,193.0674902,2.37818278,2.442378713,2.313986848
23,67.28031891,-49.00297605,201.8432852,2.431263572,2.497796996,2.364730149
24,67.28039636,-49.00295371,210.6190802,2.480349477,2.552368724,2.408330229
25,67.28047382,-49.00292892,219.3948753,2.526059217,2.605592683,2.446525751
