DIST_green,Green_z_lit,Z_green,DIST_green_uncert,Z_green_min_stdev_mean,Z_green_max_stdev_mean,DIST_red,Red_z_lit,Z_red,Standard deviation,Mean,DIST_red_uncert,Z_red_min_stdev_mean,Z_red_max_stdev_mean,DIST_dem,DEM_zeroed,DIST_along_transect_corrected_IS2,Manual_depths_IS2,STD_high,STD_low,,green - dem,red - dem,average(g - dem),average(r - dem)
12.5995128,-0.168770292,-0.122783437,12.77899304,-0.685928602,0.378138682,12.5995128,-0.032964091,-0.023984936,0.109592116,-0.030863407,12.77899304,-0.140455523,0.078728709,12.5995128,0.01135,271.8440338,2.288880244,2.420596666,2.157163821,,-0.134133437,-0.035334936,,
13.29948574,-0.168770292,-0.122783437,13.4889371,-0.685928602,0.378138682,13.29948574,-0.032964091,-0.023984936,0.109592116,-0.030863407,13.4889371,-0.140455523,0.078728709,13.29948574,0.0191625,286.9464801,2.412059227,2.537347243,2.28677121,,-0.141945937,-0.043147436,,
13.99945867,-0.168770292,-0.122783437,14.19888116,-0.685928602,0.378138682,13.99945867,-0.032964091,-0.023984936,0.109592116,-0.030863407,14.19888116,-0.140455523,0.078728709,13.99945867,0.0191625,302.0489265,2.522356054,2.656364594,2.388347513,,-0.141945937,-0.043147436,,
14.6994316,-0.168770292,-0.122783437,14.90882522,-0.685928602,0.378138682,14.6994316,-0.032964091,-0.023984936,0.109592116,-0.030863407,14.90882522,-0.140455523,0.078728709,14.6994316,0.0191625,317.1513728,2.631426789,2.769638375,2.493215203,,-0.141945937,-0.043147436,,
15.39940454,-0.168770292,-0.122783437,15.61876927,-0.685928602,0.378138682,15.39940454,-0.032964091,-0.023984936,0.109592116,-0.030863407,15.61876927,-0.140455523,0.078728709,15.39940454,0.0347875,332.2538191,2.72789924,2.857311708,2.598486771,,-0.157570937,-0.058772436,,
16.09937747,-0.168770292,-0.122783437,16.32871333,-0.685928602,0.378138682,16.09937747,-0.032964091,-0.023984936,0.109592116,-0.030863407,16.32871333,-0.140455523,0.078728709,16.09937747,0.0347875,347.3562654,2.822910395,2.944538732,2.701282058,,-0.157570937,-0.058772436,,
16.7993504,-0.364423518,-0.265123376,17.03865739,-0.834363438,0.23346636,16.7993504,-0.031178132,-0.022685466,0.109581013,-0.029525467,17.03865739,-0.139106481,0.080055546,16.7993504,0.1051,362.4587118,2.914251105,3.035670291,2.792831919,,-0.370223376,-0.127785466,,
17.49932334,-0.364423518,-0.265123376,17.74860145,-0.834363438,0.23346636,17.49932334,-0.031178132,-0.022685466,0.109581013,-0.029525467,17.74860145,-0.139106481,0.080055546,17.49932334,0.1051,377.5611581,3.001537112,3.124302737,2.878771488,,-0.370223376,-0.127785466,,
18.19929627,-0.364423518,-0.265123376,18.45854551,-0.834363438,0.23346636,18.19929627,-0.031178132,-0.022685466,0.109581013,-0.029525467,18.45854551,-0.139106481,0.080055546,18.19929627,0.1051,392.6636044,3.088233804,3.216940892,2.959526715,,-0.370223376,-0.127785466,,
18.89926921,-0.364423518,-0.265123376,19.16848956,-0.834363438,0.23346636,18.89926921,-0.031178132,-0.022685466,0.109581013,-0.029525467,19.16848956,-0.139106481,0.080055546,18.89926921,0.1051,407.7660507,3.178967794,3.315563156,3.042372432,,-0.370223376,-0.127785466,,
