Point_num,Latitude,Longitude,Distance along the transect (m),Depth,STD high,STD low
0,67.08206429,-49.13764492,0,0.004432178,0.019938709,-0.011074353
1,67.08214477,-49.13762228,9.120807566,0.298844303,0.382033687,0.215654919
2,67.08222524,-49.13759803,18.24161513,0.553956447,0.680750642,0.427162253
3,67.08230571,-49.13757356,27.3624227,0.782992842,0.918912378,0.647073305
4,67.08238619,-49.13754919,36.48323026,1.047695079,1.201483895,0.893906263
5,67.08246666,-49.13752696,45.60403783,1.271026481,1.436323556,1.105729407
6,67.08254714,-49.13749985,54.72484539,1.46009786,1.620813595,1.299382124
7,67.08262761,-49.13748397,63.84565296,1.64707112,1.810436644,1.483705595
8,67.08270809,-49.13745619,72.96646053,1.830955864,1.981762612,1.680149116
9,67.08278856,-49.13743408,82.08726809,2.021360131,2.152008798,1.890711463
10,67.08286903,-49.13741014,91.20807566,2.171541441,2.290931384,2.052151498
11,67.08294951,-49.13738622,100.3288832,2.307031558,2.418556144,2.195506972
12,67.08302998,-49.1373609,109.4496908,2.441004511,2.552070905,2.329938118
13,67.08311046,-49.13733661,118.5704984,2.577498327,2.683522617,2.471474037
14,67.08319093,-49.13731644,127.6913059,2.70242147,2.80612925,2.59871369
15,67.08327141,-49.13729519,136.8121135,2.820691722,2.930918686,2.710464757
16,67.08335188,-49.1372666,145.9329211,2.934810375,3.042123001,2.827497749
17,67.08343236,-49.13724684,155.0537286,3.049753804,3.154086949,2.945420659
18,67.08351283,-49.13722177,164.1745362,3.164570322,3.26944667,3.059693975
19,67.0835933,-49.13719751,173.2953437,3.277442475,3.38615945,3.168725501
20,67.08367378,-49.1371772,182.4161513,3.391047935,3.50577393,3.27632194
21,67.08375425,-49.13715511,191.5369589,3.504298332,3.626723878,3.381872786
22,67.08383473,-49.13712756,200.6577664,3.620543255,3.750115988,3.490970521
23,67.0839152,-49.13710703,209.778574,3.745451482,3.887011464,3.6038915
24,67.08399568,-49.13708382,218.8993816,3.860499233,4.019916957,3.701081508
25,67.08407615,-49.13706015,228.0201891,3.947192007,4.101072255,3.79331176
26,67.08415663,-49.13703424,237.1409967,4.011103741,4.140873239,3.881334242
27,67.0842371,-49.13701225,246.2618043,4.074946873,4.200749335,3.949144411
28,67.08431757,-49.13698626,255.3826118,4.149335518,4.287144007,4.011527029
29,67.08439805,-49.13696493,264.5034194,4.223355193,4.377633268,4.069077117
30,67.08447852,-49.13694452,273.624227,4.301249573,4.465200375,4.13729877
31,67.084559,-49.13691991,282.7450345,4.390583714,4.559890187,4.221277242
32,67.08463947,-49.13689296,291.8658421,4.480145138,4.657220242,4.303070035
33,67.08471995,-49.13686874,300.9866497,4.560736029,4.758585334,4.362886724
34,67.08480042,-49.13684854,310.1074572,4.645477357,4.861328538,4.429626177
35,67.0848809,-49.13682427,319.2282648,4.771051891,4.94176584,4.600337943
36,67.08496137,-49.13679817,328.3490724,4.886421254,5.037345186,4.735497321
37,67.08504184,-49.13677589,337.4698799,5.005970215,5.137688265,4.874252166
38,67.08512232,-49.13675186,346.5906875,5.122124733,5.244075978,5.000173488
39,67.08520279,-49.13672556,355.7114951,5.231464944,5.353396078,5.10953381
40,67.08528327,-49.13670688,364.8323026,5.333979974,5.454181347,5.213778601
41,67.08536374,-49.13667866,373.9531102,5.433614505,5.555548567,5.311680443
42,67.08544422,-49.13665988,383.0739178,5.525799969,5.647038722,5.404561215
43,67.08552469,-49.13663319,392.1947253,5.596203724,5.714891938,5.47751551
44,67.08560516,-49.13661074,401.3155329,5.663253151,5.782128753,5.544377549
45,67.08568564,-49.13658527,410.4363405,5.731728187,5.848842928,5.614613447
46,67.08576611,-49.13655918,419.557148,5.802855904,5.916081362,5.689630447
47,67.08584659,-49.13653622,428.6779556,5.860264824,5.981505897,5.73902375
48,67.08592706,-49.13651237,437.7987632,5.906961533,6.04151176,5.772411307
49,67.08600754,-49.1364922,446.9195707,5.932263103,6.085146105,5.779380101
50,67.08608801,-49.13646534,456.0403783,5.918565039,6.082862139,5.75426794
51,67.08616849,-49.13644096,465.1611858,5.901158876,6.092482294,5.709835458
52,67.08624896,-49.1364178,474.2819934,5.892518872,6.106282893,5.678754851
53,67.08632943,-49.13639493,483.402801,5.900533394,6.123255598,5.677811189
54,67.08640991,-49.1363702,492.5236085,5.908532967,6.11837162,5.698694314
55,67.08649038,-49.1363474,501.6444161,5.930296531,6.125116325,5.735476736
56,67.08657086,-49.13632111,510.7652237,5.952593367,6.140187292,5.764999441
57,67.08665133,-49.13630005,519.8860312,5.970294747,6.159627768,5.780961726
58,67.08673181,-49.13627386,529.0068388,5.983527509,6.180622726,5.786432292
59,67.08681228,-49.13624743,538.1276464,5.983595875,6.194276104,5.772915645
60,67.08689276,-49.13622894,547.2484539,5.966284114,6.191658355,5.740909872
61,67.08697323,-49.13620382,556.3692615,5.892673634,6.111325373,5.674021896
62,67.0870537,-49.13617891,565.4900691,5.780844285,5.971298928,5.590389642
63,67.08713418,-49.13615677,574.6108766,5.658659249,5.818723866,5.498594633
64,67.08721465,-49.13613487,583.7316842,5.521378051,5.671462749,5.371293352
65,67.08729513,-49.13611077,592.8524918,5.357579215,5.508399729,5.2067587
66,67.0873756,-49.13608691,601.9732993,5.194549571,5.373000896,5.016098245
67,67.08745608,-49.13606125,611.0941069,5.03969146,5.223586827,4.855796094
68,67.08753655,-49.13603949,620.2149145,4.873226183,5.056629071,4.689823296
69,67.08761702,-49.13601566,629.335722,4.70491168,4.886659751,4.52316361
70,67.0876975,-49.13599352,638.4565296,4.555552656,4.733459463,4.377645848
71,67.08777797,-49.13597018,647.5773372,4.414391227,4.582654559,4.246127894
72,67.08785845,-49.13594587,656.6981447,4.273251815,4.433067495,4.113436134
73,67.08793892,-49.13592201,665.8189523,4.119425329,4.284011277,3.954839381
74,67.0880194,-49.13590045,674.9397599,3.9272046,4.106503245,3.747905954
75,67.08809987,-49.13587561,684.0605674,3.722380248,3.929921236,3.51483926
76,67.08818035,-49.13584961,693.181375,3.540220025,3.744628213,3.335811837
77,67.08826082,-49.13582722,702.3021826,3.367912491,3.548405841,3.187419141
78,67.08834129,-49.13580264,711.4229901,3.185235526,3.355261518,3.015209534
79,67.08842177,-49.13577831,720.5437977,2.997776757,3.153684479,2.841869035
80,67.08850224,-49.13575382,729.6646053,2.827308563,2.965944997,2.688672129
81,67.08858272,-49.13572936,738.7854128,2.612140666,2.764547306,2.459734026
82,67.08866319,-49.13570463,747.9062204,2.352144645,2.531626238,2.172663052
83,67.08874367,-49.13568194,757.0270279,2.127300888,2.316176251,1.938425526
84,67.08882414,-49.13565551,766.1478355,1.944070874,2.128976003,1.759165744
85,67.08890462,-49.13563089,775.2686431,1.82649928,1.993309355,1.659689205
86,67.08898509,-49.13560627,784.3894506,1.757702156,1.909629998,1.605774313
87,67.08906556,-49.13558157,793.5102582,1.696543617,1.839609597,1.553477636
88,67.08914604,-49.13556275,802.6310658,1.631668981,1.772659021,1.490678942
89,67.08922651,-49.13554374,811.7518733,1.559724142,1.706270861,1.413177422
90,67.08930699,-49.13551241,820.8726809,1.487708238,1.654915086,1.32050139
91,67.08938746,-49.13548254,829.9934885,1.407831109,1.597881258,1.217780959
92,67.08946794,-49.1354643,839.114296,1.328736384,1.548543475,1.108929294
93,67.08954841,-49.13544091,848.2351036,1.247910112,1.500348602,0.995471623
94,67.08962889,-49.13542343,857.3559112,1.162962339,1.447281265,0.878643414
95,67.08970936,-49.13539356,866.4767187,1.071280104,1.384238829,0.758321379
96,67.08978983,-49.13537214,875.5975263,0.897165054,1.206166931,0.588163177
97,67.08987031,-49.13534504,884.7183339,0.695546528,1.004754969,0.386338087
98,67.08995078,-49.13532702,893.8391414,0.481893022,0.795050342,0.168735703
99,67.09003126,-49.13530389,902.959949,0.059978348,0.19246074,-0.072504045
