DIST_green,Green_z_lit,Z_green,DIST_green_uncert,Z_green_min_stdev_mean,Z_green_max_stdev_mean,DIST_red,Red_z_lit,Z_red,DIST_red_uncert,Z_red_min_stdev_mean,Z_red_max_stdev_mean,DIST_dem,DEM_zeroed,DIST_along_transect_corrected_IS2,Manual_depths_IS2,STD_high,STD_low,,green - dem,red - dem,average(g - dem),average(r - dem)
14.69934801,3.157388948,2.30036799,14.68796199,0.589968793,2.478468467,14.69934801,1.626480794,1.183703916,14.68796199,0.393080782,0.893570793,14.69934801,0.119625,191.5369589,3.504298332,3.626723878,3.381872786,,2.18074299,1.064078916,,
15.39931696,3.157388948,2.30036799,15.38738875,0.589968793,2.478468467,15.39931696,1.626480794,1.183703916,15.38738875,0.393080782,0.893570793,15.39931696,0.1430625,200.6577664,3.620543255,3.750115988,3.490970521,,2.15730549,1.040641416,,
16.09928591,3.157388948,2.30036799,16.08681551,0.589968793,2.478468467,16.09928591,1.626480794,1.183703916,16.08681551,0.393080782,0.893570793,16.09928591,0.1430625,209.778574,3.745451482,3.887011464,3.6038915,,2.15730549,1.040641416,,
16.79925487,3.157388948,2.30036799,16.78624227,0.589968793,2.478468467,16.79925487,1.626480794,1.183703916,16.78624227,0.393080782,0.893570793,16.79925487,0.1430625,218.8993816,3.860499233,4.019916957,3.701081508,,2.15730549,1.040641416,,
17.49922382,3.157388948,2.30036799,17.48566904,0.589968793,2.478468467,17.49922382,1.626480794,1.183703916,17.48566904,0.393080782,0.893570793,17.49922382,0.1665,228.0201891,3.947192007,4.101072255,3.79331176,,2.13386799,1.017203916,,
18.19919277,3.157388948,2.30036799,18.1850958,0.589968793,2.478468467,18.19919277,1.626480794,1.183703916,18.1850958,0.393080782,0.893570793,18.19919277,0.1665,237.1409967,4.011103741,4.140873239,3.881334242,,2.13386799,1.017203916,,
18.89916172,3.157388948,2.30036799,18.88452256,0.589968793,2.478468467,18.89916172,1.626480794,1.183703916,18.88452256,0.393080782,0.893570793,18.89916172,0.1665,246.2618043,4.074946873,4.200749335,3.949144411,,2.13386799,1.017203916,,
19.59913068,3.157388948,2.30036799,19.58394932,0.589968793,2.478468467,19.59913068,1.626480794,1.183703916,19.58394932,0.393080782,0.893570793,19.59913068,0.182125,255.3826118,4.149335518,4.287144007,4.011527029,,2.11824299,1.001578916,,
20.29909963,3.157388948,2.30036799,20.28337608,0.589968793,2.478468467,20.29909963,1.626480794,1.183703916,20.28337608,0.393080782,0.893570793,20.29909963,0.182125,264.5034194,4.223355193,4.377633268,4.069077117,,2.11824299,1.001578916,,
20.99906858,3.321692069,2.420132619,20.98280284,0.589968793,2.478468467,20.99906858,1.777386937,1.29359807,20.98280284,0.393080782,0.893570793,20.99906858,0.182125,273.624227,4.301249573,4.465200375,4.13729877,,2.238007619,1.11147307,,
21.69903753,3.321692069,2.420132619,21.6822296,1.310331219,3.290316166,21.69903753,1.777386937,1.29359807,21.6822296,0.682139721,1.240695678,21.69903753,0.229,282.7450345,4.390583714,4.559890187,4.221277242,,2.191132619,1.06459807,,
22.39900649,3.321692069,2.420132619,22.38165637,1.310331219,3.290316166,22.39900649,1.777386937,1.29359807,22.38165637,0.682139721,1.240695678,22.39900649,0.229,291.8658421,4.480145138,4.657220242,4.303070035,,2.191132619,1.06459807,,
23.09897544,3.321692069,2.420132619,23.08108313,1.310331219,3.290316166,23.09897544,1.777386937,1.29359807,23.08108313,0.682139721,1.240695678,23.09897544,0.229,300.9866497,4.560736029,4.758585334,4.362886724,,2.191132619,1.06459807,,
23.79894439,3.321692069,2.420132619,23.78050989,1.310331219,3.290316166,23.79894439,1.777386937,1.29359807,23.78050989,0.682139721,1.240695678,23.79894439,0.2524375,310.1074572,4.645477357,4.861328538,4.429626177,,2.167695119,1.04116057,,
24.49891334,3.321692069,2.420132619,24.47993665,1.310331219,3.290316166,24.49891334,1.777386937,1.29359807,24.47993665,0.682139721,1.240695678,24.49891334,0.2524375,319.2282648,4.771051891,4.94176584,4.600337943,,2.167695119,1.04116057,,
25.1988823,3.321692069,2.420132619,25.17936341,1.310331219,3.290316166,25.1988823,1.777386937,1.29359807,25.17936341,0.682139721,1.240695678,25.1988823,0.2524375,328.3490724,4.886421254,5.037345186,4.735497321,,2.167695119,1.04116057,,
25.89885125,3.321692069,2.420132619,25.87879017,1.310331219,3.290316166,25.89885125,1.777386937,1.29359807,25.87879017,0.682139721,1.240695678,25.89885125,0.2915,337.4698799,5.005970215,5.137688265,4.874252166,,2.128632619,1.00209807,,
26.5988202,3.321692069,2.420132619,26.57821693,1.310331219,3.290316166,26.5988202,1.777386937,1.29359807,26.57821693,0.682139721,1.240695678,26.5988202,0.2915,346.5906875,5.122124733,5.244075978,5.000173488,,2.128632619,1.00209807,,
27.29878916,3.321692069,2.420132619,27.2776437,1.310331219,3.290316166,27.29878916,1.777386937,1.29359807,27.2776437,0.682139721,1.240695678,27.29878916,0.2915,355.7114951,5.231464944,5.353396078,5.10953381,,2.128632619,1.00209807,,
27.99875811,3.321692069,2.420132619,27.97707046,1.310331219,3.290316166,27.99875811,1.777386937,1.29359807,27.97707046,0.682139721,1.240695678,27.99875811,0.3305625,364.8323026,5.333979974,5.454181347,5.213778601,,2.089570119,0.96303557,,
28.69872706,3.321692069,2.420132619,28.67649722,1.310331219,3.290316166,28.69872706,1.777386937,1.29359807,28.67649722,0.682139721,1.240695678,28.69872706,0.3305625,373.9531102,5.433614505,5.555548567,5.311680443,,2.089570119,0.96303557,,
29.39869601,3.321692069,2.420132619,29.37592398,1.310331219,3.290316166,29.39869601,1.777386937,1.29359807,29.37592398,0.682139721,1.240695678,29.39869601,0.3305625,383.0739178,5.525799969,5.647038722,5.404561215,,2.089570119,0.96303557,,
30.09866497,3.321692069,2.420132619,30.07535074,1.310331219,3.290316166,30.09866497,1.777386937,1.29359807,30.07535074,0.682139721,1.240695678,30.09866497,0.3774375,392.1947253,5.596203724,5.714891938,5.47751551,,2.042695119,0.91616057,,
30.79863392,3.92273834,2.858310436,30.7747775,1.310331219,3.290316166,30.79863392,1.95709134,1.424488806,30.7747775,0.682139721,1.240695678,30.79863392,0.3774375,401.3155329,5.663253151,5.782128753,5.544377549,,2.480872936,1.047051306,,
31.49860287,3.92273834,2.858310436,31.47420426,1.310331219,3.290316166,31.49860287,1.95709134,1.424488806,31.47420426,0.682139721,1.240695678,31.49860287,0.3774375,410.4363405,5.731728187,5.848842928,5.614613447,,2.480872936,1.047051306,,
32.19857182,3.92273834,2.858310436,32.17363103,1.631378721,3.662893956,32.19857182,1.95709134,1.424488806,32.17363103,0.856956496,1.458732299,32.19857182,0.4555625,419.557148,5.802855904,5.916081362,5.689630447,,2.402747936,0.968926306,,
32.89854078,3.92273834,2.858310436,32.87305779,1.631378721,3.662893956,32.89854078,1.95709134,1.424488806,32.87305779,0.856956496,1.458732299,32.89854078,0.4555625,428.6779556,5.860264824,5.981505897,5.73902375,,2.402747936,0.968926306,,
33.59850973,3.92273834,2.858310436,33.57248455,1.631378721,3.662893956,33.59850973,1.95709134,1.424488806,33.57248455,0.856956496,1.458732299,33.59850973,0.4555625,437.7987632,5.906961533,6.04151176,5.772411307,,2.402747936,0.968926306,,
34.29847868,3.92273834,2.858310436,34.27191131,1.631378721,3.662893956,34.29847868,1.95709134,1.424488806,34.27191131,0.856956496,1.458732299,34.29847868,0.494625,446.9195707,5.932263103,6.085146105,5.779380101,,2.363685436,0.929863806,,
34.99844764,3.92273834,2.858310436,34.97133807,1.631378721,3.662893956,34.99844764,1.95709134,1.424488806,34.97133807,0.856956496,1.458732299,34.99844764,0.494625,456.0403783,5.918565039,6.082862139,5.75426794,,2.363685436,0.929863806,,
35.69841659,3.92273834,2.858310436,35.67076483,1.631378721,3.662893956,35.69841659,1.95709134,1.424488806,35.67076483,0.856956496,1.458732299,35.69841659,0.494625,465.1611858,5.901158876,6.092482294,5.709835458,,2.363685436,0.929863806,,
36.39838554,3.92273834,2.858310436,36.37019159,1.631378721,3.662893956,36.39838554,1.95709134,1.424488806,36.37019159,0.856956496,1.458732299,36.39838554,0.5336875,474.2819934,5.892518872,6.106282893,5.678754851,,2.324622936,0.890801306,,
37.09835449,3.92273834,2.858310436,37.06961836,1.631378721,3.662893956,37.09835449,1.95709134,1.424488806,37.06961836,0.856956496,1.458732299,37.09835449,0.5336875,483.402801,5.900533394,6.123255598,5.677811189,,2.324622936,0.890801306,,
37.79832345,3.92273834,2.858310436,37.76904512,1.631378721,3.662893956,37.79832345,1.95709134,1.424488806,37.76904512,0.856956496,1.458732299,37.79832345,0.557125,492.5236085,5.908532967,6.11837162,5.698694314,,2.301185436,0.867363806,,
38.4982924,3.92273834,2.858310436,38.46847188,1.631378721,3.662893956,38.4982924,1.95709134,1.424488806,38.46847188,0.856956496,1.458732299,38.4982924,0.557125,501.6444161,5.930296531,6.125116325,5.735476736,,2.301185436,0.867363806,,
39.19826135,3.92273834,2.858310436,39.16789864,1.631378721,3.662893956,39.19826135,1.95709134,1.424488806,39.16789864,0.856956496,1.458732299,39.19826135,0.557125,510.7652237,5.952593367,6.140187292,5.764999441,,2.301185436,0.867363806,,
39.8982303,3.92273834,2.858310436,39.8673254,1.631378721,3.662893956,39.8982303,1.95709134,1.424488806,39.8673254,0.856956496,1.458732299,39.8982303,0.5805625,519.8860312,5.970294747,6.159627768,5.780961726,,2.277747936,0.843926306,,
40.59819926,3.92273834,2.858310436,40.56675216,1.631378721,3.662893956,40.59819926,1.95709134,1.424488806,40.56675216,0.856956496,1.458732299,40.59819926,0.5805625,529.0068388,5.983527509,6.180622726,5.786432292,,2.277747936,0.843926306,,
41.29816821,4.291818735,3.127429014,41.26617892,1.631378721,3.662893956,41.29816821,2.208180356,1.607426836,41.26617892,0.856956496,1.458732299,41.29816821,0.5805625,538.1276464,5.983595875,6.194276104,5.772915645,,2.546866514,1.026864336,,
41.99813716,4.291818735,3.127429014,41.96560569,2.085329422,4.200224421,41.99813716,2.208180356,1.607426836,41.96560569,1.032581377,1.682723535,41.99813716,0.604,547.2484539,5.966284114,6.191658355,5.740909872,,2.523429014,1.003426836,,
42.69810612,4.291818735,3.127429014,42.66503245,2.085329422,4.200224421,42.69810612,2.208180356,1.607426836,42.66503245,1.032581377,1.682723535,42.69810612,0.6430625,556.3692615,5.892673634,6.111325373,5.674021896,,2.484366514,0.964364336,,
43.39807507,4.291818735,3.127429014,43.36445921,2.085329422,4.200224421,43.39807507,2.208180356,1.607426836,43.36445921,1.032581377,1.682723535,43.39807507,0.6430625,565.4900691,5.780844285,5.971298928,5.590389642,,2.484366514,0.964364336,,
44.09804402,4.291818735,3.127429014,44.06388597,2.085329422,4.200224421,44.09804402,2.208180356,1.607426836,44.06388597,1.032581377,1.682723535,44.09804402,0.6665,574.6108766,5.658659249,5.818723866,5.498594633,,2.460929014,0.940926836,,
44.79801297,4.291818735,3.127429014,44.76331273,2.085329422,4.200224421,44.79801297,2.208180356,1.607426836,44.76331273,1.032581377,1.682723535,44.79801297,0.6665,583.7316842,5.521378051,5.671462749,5.371293352,,2.460929014,0.940926836,,
45.49798193,4.291818735,3.127429014,45.46273949,2.085329422,4.200224421,45.49798193,2.208180356,1.607426836,45.46273949,1.032581377,1.682723535,45.49798193,0.6665,592.8524918,5.357579215,5.508399729,5.2067587,,2.460929014,0.940926836,,
46.19795088,4.291818735,3.127429014,46.16216625,2.085329422,4.200224421,46.19795088,2.208180356,1.607426836,46.16216625,1.032581377,1.682723535,46.19795088,0.7055625,601.9732993,5.194549571,5.373000896,5.016098245,,2.421866514,0.901864336,,
46.89791983,4.291818735,3.127429014,46.86159302,2.085329422,4.200224421,46.89791983,2.208180356,1.607426836,46.86159302,1.032581377,1.682723535,46.89791983,0.7055625,611.0941069,5.03969146,5.223586827,4.855796094,,2.421866514,0.901864336,,
47.59788878,4.291818735,3.127429014,47.56101978,2.085329422,4.200224421,47.59788878,2.208180356,1.607426836,47.56101978,1.032581377,1.682723535,47.59788878,0.7055625,620.2149145,4.873226183,5.056629071,4.689823296,,2.421866514,0.901864336,,
48.29785774,4.291818735,3.127429014,48.26044654,2.085329422,4.200224421,48.29785774,2.208180356,1.607426836,48.26044654,1.032581377,1.682723535,48.29785774,0.7368125,629.335722,4.70491168,4.886659751,4.52316361,,2.390616514,0.870614336,,
48.99782669,4.291818735,3.127429014,48.9598733,2.085329422,4.200224421,48.99782669,2.208180356,1.607426836,48.9598733,1.032581377,1.682723535,48.99782669,0.7368125,638.4565296,4.555552656,4.733459463,4.377645848,,2.390616514,0.870614336,,
49.69779564,4.291818735,3.127429014,49.65930006,2.085329422,4.200224421,49.69779564,2.208180356,1.607426836,49.65930006,1.032581377,1.682723535,49.69779564,0.7368125,647.5773372,4.414391227,4.582654559,4.246127894,,2.390616514,0.870614336,,
50.3977646,4.291818735,3.127429014,50.35872682,2.085329422,4.200224421,50.3977646,2.208180356,1.607426836,50.35872682,1.032581377,1.682723535,50.3977646,0.775875,656.6981447,4.273251815,4.433067495,4.113436134,,2.351554014,0.831551836,,
51.09773355,4.756039673,3.465978034,51.05815358,2.085329422,4.200224421,51.09773355,2.449165688,1.783073521,51.05815358,1.032581377,1.682723535,51.09773355,0.775875,665.8189523,4.119425329,4.284011277,3.954839381,,2.690103034,1.007198521,,
51.7977025,4.756039673,3.465978034,51.75758035,2.085329422,4.200224421,51.7977025,2.449165688,1.783073521,51.75758035,1.032581377,1.682723535,51.7977025,0.775875,674.9397599,3.9272046,4.106503245,3.747905954,,2.690103034,1.007198521,,
52.49767145,4.756039673,3.465978034,52.45700711,2.345375056,4.513242235,52.49767145,2.449165688,1.783073521,52.45700711,1.106897146,1.778778548,52.49767145,0.807125,684.0605674,3.722380248,3.929921236,3.51483926,,2.658853034,0.975948521,,
53.19764041,4.756039673,3.465978034,53.15643387,2.345375056,4.513242235,53.19764041,2.449165688,1.783073521,53.15643387,1.106897146,1.778778548,53.19764041,0.807125,693.181375,3.540220025,3.744628213,3.335811837,,2.658853034,0.975948521,,
53.89760936,4.756039673,3.465978034,53.85586063,2.345375056,4.513242235,53.89760936,2.449165688,1.783073521,53.85586063,1.106897146,1.778778548,53.89760936,0.82275,702.3021826,3.367912491,3.548405841,3.187419141,,2.643228034,0.960323521,,
54.59757831,4.756039673,3.465978034,54.55528739,2.345375056,4.513242235,54.59757831,2.449165688,1.783073521,54.55528739,1.106897146,1.778778548,54.59757831,0.8461875,711.4229901,3.185235526,3.355261518,3.015209534,,2.619790534,0.936886021,,
55.29754726,4.756039673,3.465978034,55.25471415,2.345375056,4.513242235,55.29754726,2.449165688,1.783073521,55.25471415,1.106897146,1.778778548,55.29754726,0.8461875,720.5437977,2.997776757,3.153684479,2.841869035,,2.619790534,0.936886021,,
55.99751622,4.756039673,3.465978034,55.95414091,2.776494103,5.039893484,55.99751622,2.449165688,1.783073521,55.95414091,1.272884649,1.995649106,55.99751622,0.8461875,729.6646053,2.827308563,2.965944997,2.688672129,,2.619790534,0.936886021,,
56.69748517,4.756039673,3.465978034,56.65356768,2.776494103,5.039893484,56.69748517,2.449165688,1.783073521,56.65356768,1.272884649,1.995649106,56.69748517,0.8618125,738.7854128,2.612140666,2.764547306,2.459734026,,2.604165534,0.921261021,,
57.39745412,4.756039673,3.465978034,57.35299444,2.776494103,5.039893484,57.39745412,2.449165688,1.783073521,57.35299444,1.272884649,1.995649106,57.39745412,0.8618125,747.9062204,2.352144645,2.531626238,2.172663052,,2.604165534,0.921261021,,
58.09742308,4.756039673,3.465978034,58.0524212,2.776494103,5.039893484,58.09742308,2.449165688,1.783073521,58.0524212,1.272884649,1.995649106,58.09742308,0.8618125,757.0270279,2.127300888,2.316176251,1.938425526,,2.604165534,0.921261021,,
58.79739203,4.756039673,3.465978034,58.75184796,2.776494103,5.039893484,58.79739203,2.449165688,1.783073521,58.75184796,1.272884649,1.995649106,58.79739203,0.869625,766.1478355,1.944070874,2.128976003,1.759165744,,2.596353034,0.913448521,,
59.49736098,4.756039673,3.465978034,59.45127472,2.776494103,5.039893484,59.49736098,2.449165688,1.783073521,59.45127472,1.272884649,1.995649106,59.49736098,0.869625,775.2686431,1.82649928,1.993309355,1.659689205,,2.596353034,0.913448521,,
60.19732993,4.756039673,3.465978034,60.15070148,2.776494103,5.039893484,60.19732993,2.449165688,1.783073521,60.15070148,1.272884649,1.995649106,60.19732993,0.8774375,784.3894506,1.757702156,1.909629998,1.605774313,,2.588540534,0.905636021,,
60.89729889,4.756039673,3.465978034,60.85012824,2.776494103,5.039893484,60.89729889,2.449165688,1.783073521,60.85012824,1.272884649,1.995649106,60.89729889,0.8774375,793.5102582,1.696543617,1.839609597,1.553477636,,2.588540534,0.905636021,,
61.59726784,5.223329394,3.806834572,61.54955501,2.776494103,5.039893484,61.59726784,2.576140812,1.875654325,61.54955501,1.272884649,1.995649106,61.59726784,0.8774375,802.6310658,1.631668981,1.772659021,1.490678942,,2.929397072,0.998216825,,
62.29723679,5.223329394,3.806834572,62.24898177,3.16136601,5.517525478,62.29723679,2.576140812,1.875654325,62.24898177,1.357459935,2.107239645,62.29723679,0.88525,811.7518733,1.559724142,1.706270861,1.413177422,,2.921584572,0.990404325,,
62.99720574,5.223329394,3.806834572,62.94840853,3.16136601,5.517525478,62.99720574,2.576140812,1.875654325,62.94840853,1.357459935,2.107239645,62.99720574,0.88525,820.8726809,1.487708238,1.654915086,1.32050139,,2.921584572,0.990404325,,
63.6971747,5.223329394,3.806834572,63.64783529,3.16136601,5.517525478,63.6971747,2.576140812,1.875654325,63.64783529,1.357459935,2.107239645,63.6971747,0.88525,829.9934885,1.407831109,1.597881258,1.217780959,,2.921584572,0.990404325,,
64.39714365,5.223329394,3.806834572,64.34726205,3.16136601,5.517525478,64.39714365,2.576140812,1.875654325,64.34726205,1.357459935,2.107239645,64.39714365,0.9555625,839.114296,1.328736384,1.548543475,1.108929294,,2.851272072,0.920091825,,
65.0971126,5.223329394,3.806834572,65.04668881,3.16136601,5.517525478,65.0971126,2.576140812,1.875654325,65.04668881,1.357459935,2.107239645,65.0971126,0.9555625,848.2351036,1.247910112,1.500348602,0.995471623,,2.851272072,0.920091825,,
65.79708156,5.223329394,3.806834572,65.74611557,3.16136601,5.517525478,65.79708156,2.576140812,1.875654325,65.74611557,1.357459935,2.107239645,65.79708156,0.9555625,857.3559112,1.162962339,1.447281265,0.878643414,,2.851272072,0.920091825,,
66.49705051,5.223329394,3.806834572,66.44554234,3.16136601,5.517525478,66.49705051,2.576140812,1.875654325,66.44554234,1.357459935,2.107239645,66.49705051,0.9868125,866.4767187,1.071280104,1.384238829,0.758321379,,2.820022072,0.888841825,,
67.19701946,5.223329394,3.806834572,67.1449691,3.16136601,5.517525478,67.19701946,2.576140812,1.875654325,67.1449691,1.357459935,2.107239645,67.19701946,0.9868125,875.5975263,0.897165054,1.206166931,0.588163177,,2.820022072,0.888841825,,
67.89698841,5.223329394,3.806834572,67.84439586,3.16136601,5.517525478,67.89698841,2.576140812,1.875654325,67.84439586,1.357459935,2.107239645,67.89698841,0.9868125,884.7183339,0.695546528,1.004754969,0.386338087,,2.820022072,0.888841825,,
