DIST_green,Z_green,Z_green_min_Ad,Z_green_max_Ad,DIST_red,Z_red,Z_red_min_Ad,Z_red_max_Ad,DIST_dem,DEM_uncorrected_z,Z_corrected_dem,DIST_along_transect_corrected_IS2,Manual_depths_IS2,STD_high,STD_low,,DEM_first_zero
0,1.017605901,-3.156821728,4.110649586,0,0.158646151,-1.250907898,0.823768198,0,1167.2277,-0.92025,10,0.004432178,0.019938709,-0.011074353,,0
0.699959273,1.017605901,-3.156821728,4.110649586,0.699959273,0.158646151,-1.250907898,0.823768198,1.982404966,1167.3556,-1.04815,19.25880011,0.298844303,0.382033687,0.215654919,,-0.1279
1.399918546,1.017605901,-3.156821728,4.110649586,1.399918546,0.158646151,-1.250907898,0.823768198,3.964711666,1167.4027,-1.09525,28.51760022,0.553956447,0.680750642,0.427162253,,-0.175
2.099877819,1.017605901,-3.156821728,4.110649586,2.099877819,0.158646151,-1.250907898,0.823768198,5.947116629,1167.3963,-1.08885,37.77640033,0.782992842,0.918912378,0.647073305,,-0.1686
2.799837091,1.017605901,-3.156821728,4.110649586,2.799837091,0.158646151,-1.250907898,0.823768198,7.929521596,1167.2338,-0.92635,47.03520044,1.047695079,1.201483895,0.893906263,,-0.0061
3.499796364,1.017605901,-3.156821728,4.110649586,3.499796364,0.158646151,-1.250907898,0.823768198,9.911828295,1167.0408,-0.73335,56.29400056,1.271026481,1.436323556,1.105729407,,0.1869
4.199755637,1.017605901,-3.156821728,4.110649586,4.199755637,0.158646151,-1.250907898,0.823768198,11.89425178,1166.74,-0.43255,65.55280067,1.46009786,1.620813595,1.299382124,,0.4877
4.89971491,1.017605901,-3.156821728,4.110649586,4.89971491,0.158646151,-1.250907898,0.823768198,13.87655848,1166.5608,-0.25335,74.81160078,1.64707112,1.810436644,1.483705595,,0.6669
5.599674183,1.017605901,-3.156821728,4.110649586,5.599674183,0.158646151,-1.250907898,0.823768198,15.85896345,1166.5399,-0.23245,84.07040089,1.830955864,1.981762612,1.680149116,,0.6878
6.299633456,1.017605901,-3.156821728,4.110649586,6.299633456,0.158646151,-1.250907898,0.823768198,17.84136841,1166.4108,-0.10335,93.329201,2.021360131,2.152008798,1.890711463,,0.8169
6.999592729,1.017605901,-3.156821728,4.110649586,6.999592729,0.158646151,-1.250907898,0.823768198,19.82367511,1166.505,-0.19755,102.5880011,2.171541441,2.290931384,2.052151498,,0.7227
7.699552001,1.017605901,-3.156821728,4.110649586,7.699552001,0.158646151,-1.250907898,0.823768198,21.80608008,1166.5363,-0.22885,111.8468012,2.307031558,2.418556144,2.195506972,,0.6914
8.399511274,1.017605901,-3.156821728,4.110649586,8.399511274,0.158646151,-1.250907898,0.823768198,23.8030377,1166.7772,-0.46975,121.1056013,2.441004511,2.552070905,2.329938118,,0.4505
9.099470547,1.017605901,-3.156821728,4.110649586,9.099470547,0.158646151,-1.250907898,0.823768198,25.80009361,1166.8948,-0.58735,130.3644014,2.577498327,2.683522617,2.471474037,,0.3329
9.79942982,0.414550066,-3.75987792,3.507593632,9.79942982,0.076897718,-1.332656503,0.742019653,27.79706976,1166.8864,-0.57895,139.6232016,2.70242147,2.80612925,2.59871369,,0.3413
10.49938909,0.414550066,-3.75987792,3.507593632,10.49938909,0.076897718,-1.332656503,0.742019653,29.79402739,1166.8143,-0.50685,148.8820017,2.820691722,2.930918686,2.710464757,,0.4134
11.19934837,0.414550066,-3.75987792,3.507593632,11.19934837,0.076897718,-1.332656503,0.742019653,31.79108329,1166.6682,-0.36075,158.1408018,2.934810375,3.042123001,2.827497749,,0.5595
11.89930764,0.414550066,-3.75987792,3.507593632,11.89930764,0.076897718,-1.332656503,0.742019653,33.78804091,1166.5039,-0.19645,167.3996019,3.049753804,3.154086949,2.945420659,,0.7238
12.59926691,0.414550066,-3.75987792,3.507593632,12.59926691,0.076897718,-1.332656503,0.742019653,35.78509681,1166.3547,-0.04725,176.658402,3.164570322,3.26944667,3.059693975,,0.873
13.29922618,0.414550066,-3.75987792,3.507593632,13.29922618,0.076897718,-1.332656503,0.742019653,37.78205444,1166.2608,0.04665,185.9172021,3.277442475,3.38615945,3.168725501,,0.9669
13.99918546,0.414550066,-3.75987792,3.507593632,13.99918546,0.076897718,-1.332656503,0.742019653,39.77903059,1166.41,-0.10255,195.1760022,3.391047935,3.50577393,3.27632194,,0.8177
14.69914473,0.414550066,-3.75987792,3.507593632,14.69914473,0.076897718,-1.332656503,0.742019653,41.77608649,1166.6224,-0.31495,204.4348023,3.504298332,3.626723878,3.381872786,,0.6053
15.399104,0.414550066,-3.75987792,3.507593632,15.399104,0.076897718,-1.332656503,0.742019653,43.77304412,1166.6729,-0.36545,213.6936024,3.620543255,3.750115988,3.490970521,,0.5548
16.09906328,0.414550066,-3.75987792,3.507593632,16.09906328,0.076897718,-1.332656503,0.742019653,45.77000175,1166.5938,-0.28635,222.9524026,3.745451482,3.887011464,3.6038915,,0.6339
16.79902255,0.414550066,-3.75987792,3.507593632,16.79902255,0.076897718,-1.332656503,0.742019653,47.76705765,1166.5071,-0.19965,232.2112027,3.860499233,4.019916957,3.701081508,,0.7206
17.49898182,0.414550066,-3.75987792,3.507593632,17.49898182,0.076897718,-1.332656503,0.742019653,49.76401527,1166.4599,-0.15245,241.4700028,3.947192007,4.101072255,3.79331176,,0.7678
18.19894109,0.414550066,-3.75987792,3.507593632,18.19894109,0.076897718,-1.332656503,0.742019653,51.76099143,1166.358,-0.05055,250.7288029,4.011103741,4.140873239,3.881334242,,0.8697
18.89890037,0.414550066,-3.75987792,3.507593632,18.89890037,0.076897718,-1.332656503,0.742019653,53.75804733,1166.2474,0.06005,259.987603,4.074946873,4.200749335,3.949144411,,0.9803
19.59885964,0.414550066,-3.75987792,3.507593632,19.59885964,0.076897718,-1.332656503,0.742019653,55.75500496,1166.2322,0.07525,269.2464031,4.149335518,4.287144007,4.011527029,,0.9955
20.29881891,0.259969801,-3.914458036,3.353013277,20.29881891,0.105969265,-1.303584933,0.771091163,57.75196258,1166.2254,0.08205,278.5052032,4.223355193,4.377633268,4.069077117,,1.0023
20.99877819,0.259969801,-3.914458036,3.353013277,20.99877819,0.105969265,-1.303584933,0.771091163,59.74901848,1166.1407,0.16675,287.7640033,4.301249573,4.465200375,4.13729877,,1.087
21.69873746,0.259969801,-3.914458036,3.353013277,21.69873746,0.105969265,-1.303584933,0.771091163,61.74597611,1165.9795,0.32795,297.0228034,4.390583714,4.559890187,4.221277242,,1.2482
22.39869673,0.259969801,-3.914458036,3.353013277,22.39869673,0.105969265,-1.303584933,0.771091163,63.74305053,1165.9203,0.38715,306.2816036,4.480145138,4.657220242,4.303070035,,1.3074
23.098656,0.259969801,-3.914458036,3.353013277,23.098656,0.105969265,-1.303584933,0.771091163,65.74000816,1165.8843,0.42315,315.5404037,4.560736029,4.758585334,4.362886724,,1.3434
23.79861528,0.259969801,-3.914458036,3.353013277,23.79861528,0.105969265,-1.303584933,0.771091163,67.73696579,1165.773,0.53445,324.7992038,4.645477357,4.861328538,4.429626177,,1.4547
24.49857455,0.259969801,-3.914458036,3.353013277,24.49857455,0.105969265,-1.303584933,0.771091163,69.73402169,1165.7035,0.60395,334.0580039,4.771051891,4.94176584,4.600337943,,1.5242
25.19853382,0.259969801,-3.914458036,3.353013277,25.19853382,0.105969265,-1.303584933,0.771091163,71.73097932,1165.59,0.71745,343.316804,4.886421254,5.037345186,4.735497321,,1.6377
25.8984931,0.259969801,-3.914458036,3.353013277,25.8984931,0.105969265,-1.303584933,0.771091163,73.72793695,1165.3872,0.92025,352.5756041,5.005970215,5.137688265,4.874252166,,1.8405
26.59845237,0.259969801,-3.914458036,3.353013277,26.59845237,0.105969265,-1.303584933,0.771091163,75.72501137,1165.2413,1.06615,361.8344042,5.122124733,5.244075978,5.000173488,,1.9864
27.29841164,0.259969801,-3.914458036,3.353013277,27.29841164,0.105969265,-1.303584933,0.771091163,77.721969,1165.2165,1.09095,371.0932043,5.231464944,5.353396078,5.10953381,,2.0112
27.99837091,0.259969801,-3.914458036,3.353013277,27.99837091,0.105969265,-1.303584933,0.771091163,79.71892663,1165.4491,0.85835,380.3520044,5.333979974,5.454181347,5.213778601,,1.7786
28.69833019,0.259969801,-3.914458036,3.353013277,28.69833019,0.105969265,-1.303584933,0.771091163,81.71598252,1165.6782,0.62925,389.6108046,5.433614505,5.555548567,5.311680443,,1.5495
29.39828946,0.259969801,-3.914458036,3.353013277,29.39828946,0.105969265,-1.303584933,0.771091163,83.71294015,1165.7648,0.54265,398.8696047,5.525799969,5.647038722,5.404561215,,1.4629
30.09824873,0.955075204,-3.219352484,4.048119068,30.09824873,0.401005149,-1.008548975,1.066127181,85.70999605,1165.8003,0.50715,408.1284048,5.596203724,5.714891938,5.47751551,,1.4274
30.79820801,0.955075204,-3.219352484,4.048119068,30.79820801,0.401005149,-1.008548975,1.066127181,87.7069722,1165.9153,0.39215,417.3872049,5.663253151,5.782128753,5.544377549,,1.3124
31.49816728,0.955075204,-3.219352484,4.048119068,31.49816728,0.401005149,-1.008548975,1.066127181,89.70392983,1166.0206,0.28685,426.646005,5.731728187,5.848842928,5.614613447,,1.2071
32.19812655,0.955075204,-3.219352484,4.048119068,32.19812655,0.401005149,-1.008548975,1.066127181,91.70098573,1165.9676,0.33985,435.9048051,5.802855904,5.916081362,5.689630447,,1.2601
32.89808582,0.955075204,-3.219352484,4.048119068,32.89808582,0.401005149,-1.008548975,1.066127181,93.69794336,1165.9412,0.36625,445.1636052,5.860264824,5.981505897,5.73902375,,1.2865
33.5980451,0.955075204,-3.219352484,4.048119068,33.5980451,0.401005149,-1.008548975,1.066127181,95.69490099,1165.6889,0.61855,454.4224053,5.906961533,6.04151176,5.772411307,,1.5388
34.29800437,0.955075204,-3.219352484,4.048119068,34.29800437,0.401005149,-1.008548975,1.066127181,97.69195689,1165.3619,0.94555,463.6812054,5.932263103,6.085146105,5.779380101,,1.8658
