ice_sheet,melt_season,basin,quality_summary,max_depth,length_water_surfaces,surface_elevation,n_photons_where_water,lon,lat,date_time,lon_min,lon_max,lat_min,lat_max,cycle_number,rgt,gtx,beam_strength,beam_number,detection_quality,lake_quality,granule_id,lake_id,file_name,main_region,basin_name,depth_95th_pctl
GrIS,2019,GRE_2000_CW,21.54437364877421,10.476864220825432,968.0,1261.1186198730436,1310,-49.02256302897794,69.73899939822877,2019-07-16T05:21:21Z,-49.02533425343724,-49.01978517566885,69.73142482673921,69.74655895106392,4,277,gt1r,weak,2,0.5416183566029792,39.67704155649761,ATL03_20190716051841_02770403_006_02.h5,simplified_GRE_2000_CW_ATL03_20190716051841_02770403_006_02_gt1r_0001,data/lakes/lake_07845563_GrIS_2019_simplified_GRE_2000_CW_ATL03_20190716051841_02770403_006_02_gt1r_0001.h5,,CW,10.455122778360971
GrIS,2019,GRE_2000_CW,21.323943591036347,10.991833874875114,2123.0,1157.8207737731911,23023,-48.99488198077168,68.63068076286308,2019-06-17T06:45:13Z,-48.99910421046142,-48.99069021204158,68.61805804371272,68.64333809066098,3,1222,gt1l,strong,1,0.7818641172175556,27.172860325549035,ATL03_20190617064249_12220303_006_02.h5,simplified_GRE_2000_CW_ATL03_20190617064249_12220303_006_02_gt1l_0001,data/lakes/lake_07867606_GrIS_2019_simplified_GRE_2000_CW_ATL03_20190617064249_12220303_006_02_gt1l_0001.h5,,CW,11.006184965598145
GrIS,2019,GRE_2000_CW,21.204062584131428,5.358200269345764,1445.0,1383.646327636717,3030,-47.96350383973338,68.9368567225525,2019-07-12T05:29:26Z,-47.96672956467703,-47.960279332447016,68.92738485403076,68.9463359237377,4,216,gt1r,weak,2,0.54512862455745,38.79664321867697,ATL03_20190712052659_02160403_006_02.h5,simplified_GRE_2000_CW_ATL03_20190712052659_02160403_006_02_gt1r_0002,data/lakes/lake_07879594_GrIS_2019_simplified_GRE_2000_CW_ATL03_20190712052659_02160403_006_02_gt1r_0002.h5,,CW,5.355832549688686
GrIS,2019,GRE_2000_CW,20.70408897183089,7.719919110202382,1048.0,1126.21246520996,4473,-49.554916971843,70.22230292144536,2019-06-17T06:45:39Z,-49.55777939829596,-49.55203456194339,70.21473375763902,70.22988377454061,3,1222,gt1r,weak,2,0.6915016582470552,29.8403324946316,ATL03_20190617064249_12220303_006_02.h5,simplified_GRE_2000_CW_ATL03_20190617064249_12220303_006_02_gt1r_0016,data/lakes/lake_07929591_GrIS_2019_simplified_GRE_2000_CW_ATL03_20190617064249_12220303_006_02_gt1r_0016.h5,,CW,7.704658884230735
GrIS,2019,GRE_2000_CW,20.52458083157195,9.905457151142745,1040.0,1146.4487442626937,7897,-49.1202122489368,69.53422194822983,2019-07-12T18:14:37Z,-49.122831675599215,-49.11760391077621,69.52662585496842,69.54178871322615,4,224,gt3l,strong,5,0.777378905610947,26.301947189408057,ATL03_20190712181153_02240405_006_02.h5,simplified_GRE_2000_CW_ATL03_20190712181153_02240405_006_02_gt3l_0001,data/lakes/lake_07947542_GrIS_2019_simplified_GRE_2000_CW_ATL03_20190712181153_02240405_006_02_gt3l_0001.h5,,CW,9.899968074273499
GrIS,2020,GRE_2000_CW,20.389135531493167,8.469709472740728,569.0,998.7752208251708,4938,-50.17286869159037,70.6819743749725,2020-07-18T00:37:07Z,-50.17488553586978,-50.17087222810388,70.67691313826758,70.68702263387192,8,346,gt1l,strong,1,0.6952450736559164,29.226122604584983,ATL03_20200718003439_03460805_006_01.h5,simplified_GRE_2000_CW_ATL03_20200718003439_03460805_006_01_gt1l_0002,data/lakes/lake_07961086_GrIS_2020_simplified_GRE_2000_CW_ATL03_20200718003439_03460805_006_01_gt1l_0002.h5,,CW,8.45638265280151
GrIS,2019,GRE_2000_CW,17.64383123171242,6.9717276669372295,602.0,1615.847738281248,6076,-47.56223647289406,68.46271394972914,2019-08-10T04:05:33Z,-47.56409002939042,-47.56040667314809,68.4570448479347,68.46841420853883,4,658,gt2l,strong,3,0.5810979766745444,30.262397247893965,ATL03_20190810040312_06580403_006_02.h5,simplified_GRE_2000_CW_ATL03_20190810040312_06580403_006_02_gt2l_0004,data/lakes/lake_08235617_GrIS_2019_simplified_GRE_2000_CW_ATL03_20190810040312_06580403_006_02_gt2l_0004.h5,,CW,6.956257443379764
GrIS,2019,GRE_2000_CW,17.63051796938266,18.762150271093795,1286.0,1167.5348779296858,3382,-48.74975806293797,69.43008762004862,2019-08-14T03:57:29Z,-48.75287083458225,-48.74663599843756,69.42123905328673,69.43892148694697,4,719,gt1l,strong,1,0.4673938605500017,37.62009488461764,ATL03_20190814035453_07190403_006_02.h5,simplified_GRE_2000_CW_ATL03_20190814035453_07190403_006_02_gt1l_0002,data/lakes/lake_08236948_GrIS_2019_simplified_GRE_2000_CW_ATL03_20190814035453_07190403_006_02_gt1l_0002.h5,,CW,18.738203215662846
GrIS,2019,GRE_2000_CW,17.50202148037499,12.890338382581504,840.0,1519.8429716796868,1023,-47.58746733629605,68.79092972788831,2019-08-10T04:05:39Z,-47.589546696385405,-47.58538761612548,68.78461657552228,68.79725172335644,4,658,gt3r,weak,6,0.4328732003383321,40.33127907642474,ATL03_20190810040312_06580403_006_02.h5,simplified_GRE_2000_CW_ATL03_20190810040312_06580403_006_02_gt3r_0012,data/lakes/lake_08249798_GrIS_2019_simplified_GRE_2000_CW_ATL03_20190810040312_06580403_006_02_gt3r_0012.h5,,CW,12.865667084004675
GrIS,2020,GRE_2000_CW,17.05866676921653,4.49253002072046,1090.0,1193.0995698242168,2537,-48.56502283879347,68.90661396238823,2020-07-06T01:02:31Z,-48.56756481114458,-48.562464118698415,68.89905230245792,68.91421435074864,8,163,gt2r,weak,4,0.5228949099455029,32.52288504996899,ATL03_20200706005932_01630805_006_01.h5,simplified_GRE_2000_CW_ATL03_20200706005932_01630805_006_01_gt2r_0018,data/lakes/lake_08294133_GrIS_2020_simplified_GRE_2000_CW_ATL03_20200706005932_01630805_006_01_gt2r_0018.h5,,CW,4.528780906911914
GrIS,2019,GRE_2000_CW,14.312774430742834,15.106286761283354,1763.0,1210.623119506835,6781,-48.56035262603881,68.87353677532278,2019-07-16T05:21:07Z,-48.56410313927043,-48.556595840012456,68.86216773132556,68.88490957169594,4,277,gt3l,strong,5,0.6029418747123086,23.637838840905843,ATL03_20190716051841_02770403_006_02.h5,simplified_GRE_2000_CW_ATL03_20190716051841_02770403_006_02_gt3l_0013,data/lakes/lake_08568723_GrIS_2019_simplified_GRE_2000_CW_ATL03_20190716051841_02770403_006_02_gt3l_0013.h5,,CW,15.088984615947584
GrIS,2019,GRE_2000_CW,13.662894340954049,6.423105669756315,714.0,1083.850042236326,3511,-49.20635769537864,69.48900037592011,2019-06-17T06:45:27Z,-49.2087809135604,-49.2039073152084,69.48201773372831,69.49592088850218,3,1222,gt2l,strong,3,0.5977716556741428,22.75599467843463,ATL03_20190617064249_12220303_006_02.h5,simplified_GRE_2000_CW_ATL03_20190617064249_12220303_006_02_gt2l_0021,data/lakes/lake_08633711_GrIS_2019_simplified_GRE_2000_CW_ATL03_20190617064249_12220303_006_02_gt2l_0021.h5,,CW,6.395700349355797
GrIS,2019,GRE_2000_CW,12.946209103590649,12.98005471745697,1670.0,1383.609130126951,14920,-47.96565498988521,68.93704621742532,2019-07-12T05:29:26Z,-47.96930834560413,-47.96200355621897,68.92631385676019,68.94778329578817,4,216,gt1l,strong,1,0.5266709720138771,24.48074202697708,ATL03_20190712052659_02160403_006_02.h5,simplified_GRE_2000_CW_ATL03_20190712052659_02160403_006_02_gt1l_0000,data/lakes/lake_08705379_GrIS_2019_simplified_GRE_2000_CW_ATL03_20190712052659_02160403_006_02_gt1l_0000.h5,,CW,12.957983507692767
