elev_bins,counts_all,smooth_all,counts_strong,smooth_strong,counts_weak,smooth_weak,counts_1,smooth_1,counts_2,smooth_2,counts_3,smooth_3,counts_4,smooth_4,counts_5,smooth_5,counts_6,smooth_6
-19.09000000000824,0.00035499599950578644,0.0003522794514953997,0.00021819495983558667,0.00022399345503868845,0.0005706592575984095,0.0005545189668544337,0.0001725379076834597,0.0001578614288706072,0.0003378994027212139,0.0003624151874076034,0.00024321249142840473,0.0002544413744256949,0.0006386458077833351,0.0006287160061068999,0.00017515096202769278,0.00018172971958532505,0.00041575468643679576,0.00033285703015213317
-19.080000000008244,0.0003737940020878613,0.00035209507980104383,0.0002367934492458579,0.00022399621613869818,0.0005897717874733126,0.0005540395852082073,0.0001657757471400855,0.00015792944394447142,0.00036144367096384707,0.000362219719581792,0.0002738887409863725,0.00025442584769999333,0.0006858985607448354,0.0006280952191828491,0.0001761492056733422,0.0001817333978516311,0.0002851322173261949,0.00033286993129744206
-19.07000000000825,0.00039423520792743075,0.00035190972690051127,0.00022677468295835367,0.00022399008993343538,0.0006582323420413125,0.0005535716861140766,0.00015412200361824906,0.00015799338481841996,0.0003756349655959478,0.0003620335173206905,0.00025580955205907474,0.0002543980835220206,0.0007471507232974297,0.0006274895743188868,0.00019566183081295356,0.00018173519953854019,0.0004370924988102178,0.00033287721589120685
-19.060000000008248,0.0003228116443265086,0.00035172065981191103,0.0002133014454152011,0.00022399000409827893,0.0004954516063364501,0.000553084695026255,0.00011555187183307425,0.00015804905228335948,0.0003514746832396492,0.00036182901159310417,0.00025877091715053045,0.0002543816887161556,0.0005585251731945854,0.0006268700083602646,0.00014922006426553206,0.00018173826958123516,0.00029060017589731713,0.0003328379159192812
-19.05000000000825,0.00032578354064202264,0.0003515310686171215,0.0002126690852603477,0.0002239870948123298,0.0005041055186313367,0.0005526008046888238,0.00016980586800511855,0.0001581078705493423,0.0003015900691333731,0.000361653081380212,0.0002346491523256536,0.0002543580450258778,0.0005885498041822031,0.0006262466089046291,0.00017748598412055966,0.00018174814479617114,0.0002381347408339733,0.00033281604238023544
-19.04000000000825,0.00037261874773325727,0.0003513434462194796,0.00022339265964153906,0.0002239836478000349,0.0006078697694203918,0.0005521228346172158,0.00015696274514055602,0.00015816677001439012,0.0003863536111737248,0.00036146822133375394,0.0002494214502075163,0.00025433317063622214,0.0006938482389136023,0.0006256369992819001,0.0001967460102159241,0.0001817592933796546,0.00035008418464896703,0.0003327718847981195
-19.03000000000825,0.0003570823940182354,0.0003511443306853686,0.00022943878398504767,0.00022397243799057205,0.0005583092039958944,0.0005516274906268764,0.00016174200288025358,0.00015821783558685792,0.00033021488767616825,0.0003612933840777455,0.00025611629704066694,0.0002542982555302341,0.0006257562680738248,0.0006250013602754934,0.00020175545724117867,0.00018177065025822386,0.00040223914185703944,0.0003327319744052706
-19.020000000008256,0.00035221188471966136,0.00035094773058243624,0.00022893563889560744,0.00022396177515044397,0.000546553659343133,0.0005511377652962868,0.00015400061989248722,0.00015826740286861444,0.0003103312049971125,0.00036110869319703375,0.0002606912007832545,0.00025426317728398894,0.0006213181566459575,0.0006243783478225082,0.00019057074616558569,0.00018178697763476275,0.00035943222933139494,0.0003326744766783825
-19.010000000008255,0.0003791324555483997,0.00035075149012091657,0.000228659768731054,0.00022395152288650936,0.0006163487074951219,0.0005506483193097597,0.0001831607953850202,0.00015830177485872944,0.0004476062959064218,0.0003609341539112268,0.0002463620067858941,0.0002542322656860558,0.0006781708565523853,0.0006237575662717761,0.000210843814606352,0.0001818056388187833,0.0004390298806271112,0.00033259874747464997
-19.00000000000826,0.0003610626397945803,0.00035056205320730316,0.0002244394584916201,0.00022394192037477584,0.0005764455088269273,0.0005501753781689849,0.00020925014378551856,0.00015834124924116665,0.0003798196852019998,0.00036078816201640264,0.0002423195282642103,0.00025419912879506715,0.0006219037027899549,0.000623153744565605,0.0001769620261110893,0.00018183065759214652,0.0005077004855764479,0.00033252693136616007
-18.990000000008266,0.0003542730370435205,0.0003503697537462391,0.00023698312530646897,0.0002239326356567932,0.0005391775126790145,0.0005496945607561058,0.00018029197255302207,0.0001583784609643346,0.00033424716989138105,0.00036062733347898507,0.00026732324746112004,0.00025416847279098424,0.0006292086645560144,0.0006225419564620375,0.0001860465744104679,0.00018185096231290688,0.0002462781314379483,0.00033245362014505604
-18.980000000008264,0.0003710475667243046,0.0003501778035755421,0.00021470882259342822,0.00022392086314944922,0.0006175115044740293,0.0005492185652155198,0.0001780028928888417,0.000158424234826347,0.0003727135969687687,0.0003604538843355224,0.00024206582564485104,0.0002541286936895972,0.0006989570606150551,0.0006219423452553481,0.0001549708157024254,0.0001818812109442717,0.0004030197718931503,0.0003323617980688416
-18.970000000008262,0.00034079450379668905,0.0003499822517238585,0.00020966945272002637,0.00022391097608930827,0.0005475097144480803,0.0005487303176799894,0.00017214748689388243,0.00015845423208706827,0.00036184669036702476,0.0003603563875053477,0.00022994689687374267,0.0002540956650929773,0.0006112209059081727,0.000621314549661441,0.0001752750914549344,0.00018191339111781895,0.000374768061222628,0.00033226542891830093
-18.960000000008268,0.00035219163320318516,0.00034978895933279145,0.00021134503120824063,0.0002238964826031705,0.0005742326144028445,0.0005482551534955984,0.00015440191086646106,0.00015848713050888315,0.00047493226435192936,0.0003601969129133686,0.0002392768482306523,0.00025405354313353605,0.0006276934955034981,0.0006207138832233304,0.00016900525332230336,0.00018194933753352925,0.0003812863220241539,0.0003321730576544549
-18.95000000000827,0.00035767755613186586,0.00034959667390716865,0.0002498826967202692,0.00022387519918397813,0.0005276133303217845,0.0005477932878830414,0.00017700283592435607,0.0001585159337549527,0.0003149648840419376,0.0003600700577135284,0.0002883142619151465,0.000254001942018202,0.000622250857776028,0.0006201255927918984,0.00018638684528794145,0.00018198524167254573,0.00021737707851011553,0.0003320823551915228
-18.940000000008272,0.0003442720236967359,0.00034940174184753544,0.00023840041809663356,0.00022385703326296096,0.0005111758385965361,0.0005473196886329664,0.00016770429902177923,0.00015854188157528692,0.00034001264435860147,0.0003599933282045089,0.00026997586597240873,0.00025395511809470425,0.0005824631341012594,0.0006195266089046924,0.00019659844376395853,0.00018202422881373188,0.0002868158943813523,0.00033192196660609074
