,lake_idx,ice_sheet,melt_season,basin,quality_summary,max_depth,length_water_surfaces,surface_elevation,n_photons_where_water,lon,lat,date_time,lon_min,lon_max,lat_min,lat_max,cycle_number,rgt,gtx,beam_strength,beam_number,detection_quality,lake_quality,granule_id,lake_id,file_name,main_region,basin_name,depth_95th_pctl,qual_nonzero,count_nnz,geometry,intersects_with_extent,extent_idxs
0,7,GrIS,2020,GRE_2000_CW,26.148171637742223,7.644714943338169,1407.0,1218.4294735717751,31543,-50.514379046935694,71.33514454884073,2020-07-17T11:52:52Z,-50.51831323240939,-50.5104443615064,71.32568273502596,71.34461485581278,8,338,gt1l,strong,1,0.8857681428395864,29.420000972159496,ATL03_20200717114945_03380803_006_01.h5,simplified_GRE_2000_CW_ATL03_20200717114945_03380803_006_01_gt1l_0005,/Users/parndt/jupyterprojects/icelakes-methods/data/lakes/lake_07385183_GrIS_2020_simplified_GRE_2000_CW_ATL03_20200717114945_03380803_006_01_gt1l_0005.h5,,CW,7.662198789423432,good data,1,"LINESTRING (-195932.33930749213 -2030735.5436263646, -195995.39174083996 -2028933.6947354788)",True,[9609]
1,15,GrIS,2020,GRE_2000_CW,20.389135531493167,8.469709472740728,569.0,998.7752208251708,4938,-50.17286869159037,70.6819743749725,2020-07-18T00:37:07Z,-50.17488553586978,-50.17087222810388,70.67691313826758,70.68702263387192,8,346,gt1l,strong,1,0.6952450736559164,29.226122604584983,ATL03_20200718003439_03460805_006_01.h5,simplified_GRE_2000_CW_ATL03_20200718003439_03460805_006_01_gt1l_0002,/Users/parndt/jupyterprojects/icelakes-methods/data/lakes/lake_07961086_GrIS_2020_simplified_GRE_2000_CW_ATL03_20200718003439_03460805_006_01_gt1l_0002.h5,,CW,8.494531747475802,good data,1,"LINESTRING (-190310.85171757184 -2102861.5485574445, -190521.21889120498 -2103806.4802084235)",True,[8447]
2,19,GrIS,2020,GRE_2000_CW,17.05866676921653,4.49253002072046,1090.0,1193.0995698242168,2537,-48.56502283879347,68.90661396238823,2020-07-06T01:02:31Z,-48.56756481114458,-48.562464118698415,68.89905230245792,68.91421435074864,8,163,gt2r,weak,4,0.5228949099455029,32.52288504996899,ATL03_20200706005932_01630805_006_01.h5,simplified_GRE_2000_CW_ATL03_20200706005932_01630805_006_01_gt2r_0018,/Users/parndt/jupyterprojects/icelakes-methods/data/lakes/lake_08294133_GrIS_2020_simplified_GRE_2000_CW_ATL03_20200706005932_01630805_006_01_gt2r_0018.h5,,CW,4.549211497469411,good data,1,"LINESTRING (-143504.15319706677 -2304874.8522968544, -143776.251618785 -2306345.0407903017)",True,[1170]
3,24,GrIS,2020,GRE_2000_CW,12.061613994338694,5.363452750091182,888.0,1223.7563763427725,7378,-49.11750544544796,69.96645957918832,2020-07-13T12:00:49Z,-49.12003173386211,-49.1149855953224,69.9595074286532,69.97339195359349,8,277,gt2l,strong,3,0.7990345497485491,14.995045699434854,ATL03_20200713115804_02770803_006_01.h5,simplified_GRE_2000_CW_ATL03_20200713115804_02770803_006_01_gt2l_0019,/Users/parndt/jupyterprojects/icelakes-methods/data/lakes/lake_08793839_GrIS_2020_simplified_GRE_2000_CW_ATL03_20200713115804_02770803_006_01_gt2l_0019.h5,,CW,5.381062353068812,good data,1,"LINESTRING (-157333.5163774912 -2186642.9835408, -157400.94897607958 -2185354.613131727)",True,[2216]
4,25,GrIS,2020,GRE_2000_CW,11.95737327638463,3.132625690479537,985.0,1193.0795655517556,8363,-48.562404142839945,68.90747305503837,2020-07-06T01:02:30Z,-48.564942334422746,-48.55987471514798,68.89988118718207,68.91505262961661,8,163,gt2l,strong,3,0.509500234928529,23.36836718218612,ATL03_20200706005932_01630805_006_01.h5,simplified_GRE_2000_CW_ATL03_20200706005932_01630805_006_01_gt2l_0010,/Users/parndt/jupyterprojects/icelakes-methods/data/lakes/lake_08804263_GrIS_2020_simplified_GRE_2000_CW_ATL03_20200706005932_01630805_006_01_gt2l_0010.h5,,CW,3.144186223456777,good data,1,"LINESTRING (-143412.40002512425 -2304891.4611466294, -143664.91957922842 -2306258.121213359)",True,[1170]
5,31,GrIS,2020,GRE_2000_CW,10.24358524006621,9.444193462903431,608.0,998.7819340820072,2009,-50.17530704930174,70.68174417791676,2020-07-18T00:37:07Z,-50.17757403733432,-50.17305457281695,70.6760563507023,70.68741760389219,8,346,gt1r,weak,2,0.4644962735205089,21.952630554222072,ATL03_20200718003439_03460805_006_01.h5,simplified_GRE_2000_CW_ATL03_20200718003439_03460805_006_01_gt1r_0004,/Users/parndt/jupyterprojects/icelakes-methods/data/lakes/lake_08975641_GrIS_2020_simplified_GRE_2000_CW_ATL03_20200718003439_03460805_006_01_gt1r_0004.h5,,CW,9.466736291856645,good data,1,"LINESTRING (-190391.1404148953 -2102826.7752076616, -190609.85567233321 -2103810.7435142137)",True,[8447]
6,32,GrIS,2020,GRE_2000_CW,10.039638763082428,11.076968355392696,779.0,999.9425531005612,9314,-50.215539697425655,70.80010130488299,2020-07-18T00:37:05Z,-50.21825153131559,-50.2128395967304,70.79314441623069,70.80704905024243,8,346,gt2l,strong,3,0.6353887435397892,15.70053291756901,ATL03_20200718003439_03460805_006_01.h5,simplified_GRE_2000_CW_ATL03_20200718003439_03460805_006_01_gt2l_0007,/Users/parndt/jupyterprojects/icelakes-methods/data/lakes/lake_08996036_GrIS_2020_simplified_GRE_2000_CW_ATL03_20200718003439_03460805_006_01_gt2l_0007.h5,,CW,11.103591806003644,good data,1,"LINESTRING (-190649.76628646936 -2089476.7987146368, -190904.7014135221 -2090626.0212529986)",True,[8613]
7,34,GrIS,2020,GRE_2000_CW,9.911551803006962,7.7143404449493795,635.0,1128.1970473632794,5877,-49.19619573919314,69.94814300046103,2020-07-13T12:00:49Z,-49.19828964365287,-49.19410077793285,69.94246188457302,69.95383418597189,8,277,gt1l,strong,1,0.7118249284907985,13.8239469802655,ATL03_20200713115804_02770803_006_01.h5,simplified_GRE_2000_CW_ATL03_20200713115804_02770803_006_01_gt1l_0005,/Users/parndt/jupyterprojects/icelakes-methods/data/lakes/lake_09008845_GrIS_2020_simplified_GRE_2000_CW_ATL03_20200713115804_02770803_006_01_gt1l_0005.h5,,CW,7.733688042627445,good data,1,"LINESTRING (-160490.64034575905 -2188365.4723622804, -160544.53810865484 -2187331.644714311)",True,[2449]
8,36,GrIS,2020,GRE_2000_CW,9.746212852503383,3.759820562239687,438.0,793.9881713866944,16512,-49.87390095139772,69.67068887337754,2020-07-17T11:52:26Z,-49.87578479398066,-49.87202440989213,69.66562343470027,69.67573692890281,8,338,gt1l,strong,1,0.5254781954324513,18.446968204457423,ATL03_20200717114945_03380803_006_01.h5,simplified_GRE_2000_CW_ATL03_20200717114945_03380803_006_01_gt1l_0002,/Users/parndt/jupyterprojects/icelakes-methods/data/lakes/lake_09025379_GrIS_2020_simplified_GRE_2000_CW_ATL03_20200717114945_03380803_006_01_gt1l_0002.h5,,CW,3.769330500415008,good data,1,"LINESTRING (-188999.9109805483 -2217040.3749210057, -189033.48030414284 -2216200.134409043)",True,[6971]
9,41,GrIS,2020,GRE_2000_CW,7.7784990309385,9.183154882242135,1864.0,1277.3835391845682,21473,-48.55804862076511,68.67986817945746,2020-07-06T01:02:34Z,-48.56182098303072,-48.55425970174425,68.66849897102811,68.69126383592982,8,163,gt1l,strong,1,0.4995861032200476,15.46957506434443,ATL03_20200706005932_01630805_006_01.h5,simplified_GRE_2000_CW_ATL03_20200706005932_01630805_006_01_gt1l_0003,/Users/parndt/jupyterprojects/icelakes-methods/data/lakes/lake_09222150_GrIS_2020_simplified_GRE_2000_CW_ATL03_20200706005932_01630805_006_01_gt1l_0003.h5,,CW,9.20704061418394,good data,1,"LINESTRING (-144741.3787327536 -2329914.9264245518, -145153.49667859735 -2332151.951291094)",True,"[1152, 1160, 1162]"
