,ID_unique_lake,IDs_is2,IDs_extent
0,0,"[0, 11, 34, 52]",[9609]
1,1,"[1, 5]",[8447]
2,2,"[2, 4]",[1170]
3,3,"[3, 15]",[2216]
4,4,"[6, 10, 18]",[8613]
5,5,"[7, 75]",[2449]
6,6,[8],[6971]
7,7,"[9, 20, 59, 127, 148, 150]","[1152, 1161, 1162, 1160]"
8,8,"[12, 25]","[2236, 2237]"
9,9,"[13, 30]",[5432]
10,10,"[14, 23]",[7840]
11,11,"[16, 31]",[1343]
12,12,"[17, 22, 153]",[1178]
13,13,"[19, 37]",[8760]
14,14,"[21, 58]",[10469]
15,15,"[24, 29]",[1238]
16,16,"[26, 48]",[1305]
17,17,"[27, 78]",[8765]
18,18,"[28, 44, 51]",[1476]
19,19,"[32, 132]",[2206]
20,20,[33],[7374]
21,21,"[35, 49]",[8426]
22,22,"[36, 56, 125]",[1064]
23,23,[38],[10237]
24,24,[39],[1412]
25,25,"[40, 143]","[5356, 5342]"
26,26,"[41, 98]",[5943]
27,27,[42],[2820]
28,28,"[43, 87]",[1216]
29,29,[45],[240]
30,30,[46],[6116]
31,31,[47],[9103]
32,32,[50],[5952]
33,33,"[53, 84]",[1244]
34,34,[54],[7272]
35,35,"[55, 145]",[5288]
36,36,[57],[2926]
37,37,"[60, 90]",[2328]
38,38,[61],[]
39,39,[62],[9189]
40,40,"[63, 126]",[2573]
41,41,"[64, 69, 114]",[8202]
42,42,[65],[8661]
43,43,"[66, 103]",[1135]
44,44,"[67, 89]",[7742]
45,45,"[68, 77, 83]","[8308, 8309]"
46,46,[70],[4661]
47,47,[71],[8405]
48,48,"[72, 137]",[4102]
49,49,"[73, 76]",[1033]
50,50,[74],[7267]
51,51,"[79, 82]",[2885]
52,52,"[80, 96]",[5775]
53,53,[81],[2252]
54,54,[85],[6220]
55,55,"[86, 94]",[5251]
56,56,"[88, 102]",[1336]
57,57,"[91, 170]",[6058]
58,58,"[92, 121]","[8812, 8813, 8822, 8731, 8732]"
59,59,"[93, 135]",[6605]
60,60,[95],[2638]
61,61,"[97, 99]",[3552]
62,62,[100],[2644]
63,63,"[101, 110]",[2406]
64,64,[104],[]
65,65,"[105, 140]",[9029]
66,66,[106],[6226]
67,67,[107],[1095]
68,68,[108],[9089]
69,69,"[109, 119]",[1373]
70,70,[111],[1029]
71,71,[112],[1381]
72,72,[113],[]
73,73,[115],[1370]
74,74,[116],[10172]
75,75,[117],[9263]
76,76,"[118, 130]",[1358]
77,77,[120],[7603]
78,78,[122],[870]
79,79,[123],[1324]
80,80,[124],[2016]
81,81,[128],[8924]
82,82,[129],[]
83,83,[131],[8954]
84,84,[133],[8352]
85,85,[134],[8729]
86,86,[136],[]
87,87,[138],[7704]
88,88,[139],[7166]
89,89,[141],[1762]
90,90,[142],[6082]
91,91,"[144, 146]",[10405]
92,92,"[147, 149]","[1024, 1018, 1020, 1014]"
93,93,[151],[1314]
94,94,[152],[1340]
95,95,[154],[1318]
96,96,[155],[1516]
97,97,[156],[1799]
98,98,[157],[2737]
99,99,[158],[2213]
100,100,[159],"[1688, 1689, 1643]"
101,101,[160],[1096]
102,102,[161],[4225]
103,103,[162],[10274]
104,104,[163],[8102]
105,105,[164],[]
106,106,[165],[202]
107,107,[166],[203]
108,108,[167],[]
109,109,[168],[]
110,110,[169],[964]
111,111,[171],[9726]
112,112,"[172, 174]",[10311]
113,113,[173],[10228]
