,lake_idx,ice_sheet,melt_season,basin,quality_summary,max_depth,length_water_surfaces,surface_elevation,n_photons_where_water,lon,lat,date_time,lon_min,lon_max,lat_min,lat_max,cycle_number,rgt,gtx,beam_strength,beam_number,detection_quality,lake_quality,granule_id,lake_id,file_name,main_region,basin_name,depth_95th_pctl,qual_nonzero,count_nnz,geometry,intersects_with_extent,extent_idxs
12,1136,AIS,2020-21,ANT_1000_East_B-C,0.0,1.217675429773028,683.0,85.11066357422266,14992,71.21388706107936,-71.6253019822856,2020-11-14T22:48:27Z,71.21076435969992,71.21701946254943,-71.63283449844003,-71.61777448787743,9,790,gt1l,strong,1,0.0,0.0,ATL03_20201114224630_07900912_006_01.h5,simplified_ANT_1000_East_B-C_ATL03_20201114224630_07900912_006_01_gt1l_0000,/Users/parndt/jupyterprojects/icelakes-methods/data/lakes/lake_10000000_AIS_2020-21_simplified_ANT_1000_East_B-C_ATL03_20201114224630_07900912_006_01_gt1l_0000.h5,AIS_East,B-C,1.4211915242036834,bad data,0,"LINESTRING (1905214.668273944 647982.2364598947, 1906482.033143133 648605.5942966039)",True,[278]
13,1137,AIS,2020-21,ANT_1000_East_B-C,0.0,1.30883690169491,492.0,210.44056567383203,29996,68.10147985791093,-73.0005307240962,2020-12-25T08:15:57Z,68.09742454004515,68.10552526080151,-73.0086986214989,-72.99237180604102,10,20,gt1l,strong,1,0.0,0.0,ATL03_20201225080953_00201010_006_01.h5,simplified_ANT_1000_East_B-C_ATL03_20201225080953_00201010_006_01_gt1l_0000,/Users/parndt/jupyterprojects/icelakes-methods/data/lakes/lake_10000000_AIS_2020-21_simplified_ANT_1000_East_B-C_ATL03_20201225080953_00201010_006_01_gt1l_0000.h5,AIS_East,B-C,1.3898031999225198,bad data,0,"LINESTRING (1726754.663433302 693971.3868656014, 1725161.5707989929 693578.5696072669)",False,[]
14,1138,AIS,2020-21,ANT_1000_East_B-C,0.0,1.2360940858739151,414.0,61.80215405273216,3664,72.8228283676825,-70.42830336729484,2021-01-03T20:17:35Z,72.82090701819888,72.82478331856753,-70.43334448037471,-70.42326681144007,10,165,gt1r,weak,2,0.0,0.0,ATL03_20210103201518_01651012_006_01.h5,simplified_ANT_1000_East_B-C_ATL03_20210103201518_01651012_006_01_gt1r_0000,/Users/parndt/jupyterprojects/icelakes-methods/data/lakes/lake_10000000_AIS_2020-21_simplified_ANT_1000_East_B-C_ATL03_20210103201518_01651012_006_01_gt1r_0000.h5,AIS_East,B-C,1.2877068547532906,bad data,0,"LINESTRING (2050470.949632963 633778.0818679815, 2051215.0012766945 634113.9077660419)",True,[1161]
15,1139,AIS,2020-21,ANT_1000_East_B-C,0.0,1.251712671611641,336.0,229.0351003418007,2350,67.72472320150627,-73.21769721465094,2021-01-06T20:34:10Z,67.72220109543956,67.72722364550053,-73.22269070443406,-73.21267583328984,10,211,gt3r,weak,6,0.0,0.0,ATL03_20210106203237_02111012_006_01.h5,simplified_ANT_1000_East_B-C_ATL03_20210106203237_02111012_006_01_gt3r_0001,/Users/parndt/jupyterprojects/icelakes-methods/data/lakes/lake_10000000_AIS_2020-21_simplified_ANT_1000_East_B-C_ATL03_20210106203237_02111012_006_01_gt3r_0001.h5,AIS_East,B-C,1.2809809688256146,bad data,0,"LINESTRING (1698715.482377063 695780.1345778011, 1699448.5310233478 696210.1519591841)",True,[3841]
16,1140,AIS,2020-21,ANT_1000_East_B-C,0.0,1.39351428055435,140.0,34.674021850584055,5537,72.45317028260786,-70.44469078670215,2021-01-07T07:24:38Z,72.45121771464733,72.45512390678448,-70.44971574924061,-70.43966639949126,10,218,gt2l,strong,3,0.0,0.0,ATL03_20210107071914_02181010_006_01.h5,simplified_ANT_1000_East_B-C_ATL03_20210107071914_02181010_006_01_gt2l_0001,/Users/parndt/jupyterprojects/icelakes-methods/data/lakes/lake_10000000_AIS_2020-21_simplified_ANT_1000_East_B-C_ATL03_20210107071914_02181010_006_01_gt2l_0001.h5,AIS_East,B-C,1.4023253274970884,bad data,0,"LINESTRING (2045418.5801878886 646695.0312339346, 2044886.0760469048 646600.1243772063)",False,[]
17,1141,AIS,2020-21,ANT_1000_East_B-C,0.0,2.924315767171449,609.0,65.94824896240621,13250,71.0562538188658,-71.74558574433401,2021-01-11T07:16:42Z,71.05385778471016,71.05864500547347,-71.75122883717803,-71.739932869387,10,279,gt3r,weak,6,0.0,0.0,ATL03_20210111071058_02791010_006_01.h5,simplified_ANT_1000_East_B-C_ATL03_20210111071058_02791010_006_01_gt3r_0004,/Users/parndt/jupyterprojects/icelakes-methods/data/lakes/lake_10000000_AIS_2020-21_simplified_ANT_1000_East_B-C_ATL03_20210111071058_02791010_006_01_gt3r_0004.h5,AIS_East,B-C,2.4799631307366474,bad data,0,"LINESTRING (1891894.2982143166 649277.7750204658, 1890906.3224237862 649078.2666321201)",True,[226]
18,1142,AIS,2020-21,ANT_1000_East_B-C,0.0,1.5181768271496474,166.0,59.10339270019343,3800,71.52089855329825,-71.09962857642235,2021-01-11T20:00:46Z,71.51939296091446,71.52235826536207,-71.10333326449044,-71.09580877383469,10,287,gt1l,strong,1,0.0,0.0,ATL03_20210111195841_02871012_006_01.h5,simplified_ANT_1000_East_B-C_ATL03_20210111195841_02871012_006_01_gt1l_0000,/Users/parndt/jupyterprojects/icelakes-methods/data/lakes/lake_10000000_AIS_2020-21_simplified_ANT_1000_East_B-C_ATL03_20210111195841_02871012_006_01_gt1l_0000.h5,AIS_East,B-C,1.5297019708365682,bad data,0,"LINESTRING (1964629.1259773017 656529.4413869752, 1965142.5445876936 656776.5661439107)",True,[486]
19,1143,AIS,2020-21,ANT_1000_East_B-C,0.0,1.0547774973724309,238.0,224.2517229003945,5695,71.682659427119,-71.26907042369109,2021-01-11T20:00:44Z,71.68113011310406,71.68418127338609,-71.27283306378952,-71.26530704257462,10,287,gt2l,strong,3,0.0,0.0,ATL03_20210111195841_02871012_006_01.h5,simplified_ANT_1000_East_B-C_ATL03_20210111195841_02871012_006_01_gt2l_0001,/Users/parndt/jupyterprojects/icelakes-methods/data/lakes/lake_10000000_AIS_2020-21_simplified_ANT_1000_East_B-C_ATL03_20210111195841_02871012_006_01_gt2l_0001.h5,AIS_East,B-C,1.0610963642562865,bad data,0,"LINESTRING (1948487.0031938986 645016.8712930935, 1949063.126909031 645294.4381162202)",True,[709]
20,1144,AIS,2020-21,ANT_1000_East_B-C,0.0,1.5895114651007316,137.0,87.39363171387103,893,68.85233673075919,-72.17627185991131,2021-01-27T19:27:11Z,68.85071205171388,68.85398651382243,-72.18004001892557,-72.17252872767652,10,531,gt1l,weak,6,0.0,0.0,ATL03_20210127192522_05311012_006_01.h5,simplified_ANT_1000_East_B-C_ATL03_20210127192522_05311012_006_01_gt1l_0000,/Users/parndt/jupyterprojects/icelakes-methods/data/lakes/lake_10000000_AIS_2020-21_simplified_ANT_1000_East_B-C_ATL03_20210127192522_05311012_006_01_gt1l_0000.h5,AIS_East,B-C,1.6204429195470849,bad data,0,"LINESTRING (1820095.7140516792 704025.4039585746, 1820567.6682276516 704284.030204787)",False,[]
21,1145,AIS,2020-21,ANT_1000_East_B-C,2.8793943581764674e-06,1.6891415304671538,109.0,16.67680715942343,1386,68.2652208876354,-70.72606060592926,2021-01-27T19:27:34Z,68.26377201255512,68.2666817926489,-70.72985486443987,-70.72232004118779,10,531,gt1r,strong,5,1.8793943581764672e-05,0.0,ATL03_20210127192522_05311012_006_01.h5,simplified_ANT_1000_East_B-C_ATL03_20210127192522_05311012_006_01_gt1r_0001,/Users/parndt/jupyterprojects/icelakes-methods/data/lakes/lake_10000000_AIS_2020-21_simplified_ANT_1000_East_B-C_ATL03_20210127192522_05311012_006_01_gt1r_0001.h5,AIS_East,B-C,1.7032290951572149,bad data,0,"LINESTRING (1962778.7873706988 782416.1599636236, 1963225.441063024 782663.109659942)",False,[]
22,1146,AIS,2020-21,ANT_1000_East_B-C,0.0,0.6642592552757063,194.0,280.5984907226329,667,69.19243347804226,-72.48931193208665,2021-01-27T19:27:06Z,69.19071492296796,69.19415224500388,-72.4930627626888,-72.48554948929936,10,531,gt3l,weak,2,0.0,0.0,ATL03_20210127192522_05311012_006_01.h5,simplified_ANT_1000_East_B-C_ATL03_20210127192522_05311012_006_01_gt3l_0003,/Users/parndt/jupyterprojects/icelakes-methods/data/lakes/lake_10000000_AIS_2020-21_simplified_ANT_1000_East_B-C_ATL03_20210127192522_05311012_006_01_gt3l_0003.h5,AIS_East,B-C,,bad data,0,"LINESTRING (1791711.4009899271 680845.924404475, 1792231.3846265585 681130.0834001652)",True,[45]
23,1147,AIS,2020-21,ANT_1000_East_B-C,0.0,1.5902293503555158,282.0,216.62477465820697,6893,67.82543536242667,-72.88878529977049,2021-02-04T19:10:21Z,67.8233599189686,67.82752735827957,-72.89321012147653,-72.88444138485022,10,653,gt3r,strong,1,0.0,0.0,ATL03_20210204190842_06531012_006_01.h5,simplified_ANT_1000_East_B-C_ATL03_20210204190842_06531012_006_01_gt3r_0002,/Users/parndt/jupyterprojects/icelakes-methods/data/lakes/lake_10000000_AIS_2020-21_simplified_ANT_1000_East_B-C_ATL03_20210204190842_06531012_006_01_gt3r_0002.h5,AIS_East,B-C,1.6110911225491964,bad data,0,"LINESTRING (1733722.5229509834 706562.9329688977, 1734312.0173168166 706904.8334718623)",True,[4845]
24,1148,AIS,2020-21,ANT_1000_East_B-C,0.0,1.185396813672485,239.0,66.30276153564807,1129,72.54685281307013,-70.589391119747,2021-02-05T18:45:18Z,72.54524459708469,72.5483464430488,-70.59317114018334,-70.58563497563341,10,668,gt3r,strong,1,0.0,0.0,ATL03_20210205184304_06681012_006_01.h5,simplified_ANT_1000_East_B-C_ATL03_20210205184304_06681012_006_01_gt3r_0000,/Users/parndt/jupyterprojects/icelakes-methods/data/lakes/lake_10000000_AIS_2020-21_simplified_ANT_1000_East_B-C_ATL03_20210205184304_06681012_006_01_gt3r_0000.h5,AIS_East,B-C,1.1895841381831225,bad data,0,"LINESTRING (2030298.80933734 638280.349356479, 2030880.9364084408 638548.2618351401)",True,[959]
25,1149,AIS,2020-21,ANT_1000_East_B-C,0.0,2.3638111872304792,294.0,347.35110180661565,6626,67.11699525547301,-73.03166612457424,2021-02-08T19:01:58Z,67.11430336893885,67.11970513565662,-73.03730837449095,-73.02603702689832,10,714,gt3r,strong,1,0.0,0.0,ATL03_20210208190023_07141012_006_01.h5,simplified_ANT_1000_East_B-C_ATL03_20210208190023_07141012_006_01_gt3r_0001,/Users/parndt/jupyterprojects/icelakes-methods/data/lakes/lake_10000000_AIS_2020-21_simplified_ANT_1000_East_B-C_ATL03_20210208190023_07141012_006_01_gt3r_0001.h5,AIS_East,B-C,1.911612658129524,bad data,0,"LINESTRING (1710485.688148209 721922.7696527139, 1711078.9550716644 722277.3735326387)",False,[]
26,1150,AIS,2020-21,ANT_1000_East_B-C,0.0,1.7775990155357233,168.0,312.97385815427214,3269,67.0606486611841,-72.91446487908398,2021-02-08T19:02:00Z,67.05887148327963,67.06243087610972,-72.91822170707505,-72.91070588780485,10,714,gt3r,strong,1,0.0,0.0,ATL03_20210208190023_07141012_006_01.h5,simplified_ANT_1000_East_B-C_ATL03_20210208190023_07141012_006_01_gt3r_0002,/Users/parndt/jupyterprojects/icelakes-methods/data/lakes/lake_10000000_AIS_2020-21_simplified_ANT_1000_East_B-C_ATL03_20210208190023_07141012_006_01_gt3r_0002.h5,AIS_East,B-C,1.7982794503456077,bad data,0,"LINESTRING (1721558.2871262443 728557.5975796956, 1722044.5849664873 728849.1989497)",True,[1719]
27,1151,AIS,2020-21,ANT_1000_East_B-C,2.346176341032575e-06,0.8147270801184368,502.0,162.65928076172264,10553,66.5839808095331,-73.0063860712672,2021-03-13T17:29:42Z,66.58157298826137,66.58639677680355,-73.01139658620282,-73.00137920564173,10,1217,gt3r,strong,1,0.0,0.1346176341032574,ATL03_20210313172806_12171012_006_01.h5,simplified_ANT_1000_East_B-C_ATL03_20210313172806_12171012_006_01_gt3r_0001,/Users/parndt/jupyterprojects/icelakes-methods/data/lakes/lake_10000000_AIS_2020-21_simplified_ANT_1000_East_B-C_ATL03_20210313172806_12171012_006_01_gt3r_0001.h5,AIS_East,B-C,1.297275113462358,good data,1,"LINESTRING (1706008.1984456438 738758.3900496012, 1706776.0108148525 739228.0394323794)",False,[]
