,ID_unique_lake,IDs_is2,IDs_extent
0,0,[0],[4138]
1,1,"[1, 6]","[4996, 4997, 4998, 5002, 5003, 5004]"
2,2,[2],[5207]
3,3,[3],[53]
4,4,[4],"[2900, 2901]"
5,5,[5],"[930, 934]"
6,6,[7],[]
7,7,[8],[]
8,8,"[9, 11]",[155]
9,9,"[10, 17]",[226]
10,10,[12],[278]
11,11,[13],[]
12,12,[14],[1161]
13,13,[15],[3841]
14,14,[16],[]
15,15,[18],[486]
16,16,[19],[709]
17,17,[20],[]
18,18,[21],[]
19,19,[22],[45]
20,20,[23],[4845]
21,21,[24],[959]
22,22,[25],[]
23,23,[26],[1719]
24,24,[27],[]
