,lake_idx,ice_sheet,melt_season,basin,quality_summary,max_depth,length_water_surfaces,surface_elevation,n_photons_where_water,lon,lat,date_time,lon_min,lon_max,lat_min,lat_max,cycle_number,rgt,gtx,beam_strength,beam_number,detection_quality,lake_quality,granule_id,lake_id,file_name,main_region,basin_name,depth_95th_pctl,qual_nonzero,count_nnz,geometry,intersects_with_extent,extent_idxs
0,77,AIS,2018-19,ANT_1000_East_B-C,2.4209626358079364,5.383477007997954,959.0,69.13490406799707,15803,67.85854611024628,-71.64274351030278,2019-01-02T18:48:55Z,67.85563062265253,67.861455660126,-71.64964476025172,-71.63585145248604,2,81,gt2l,strong,3,0.4213871595541141,5.645085321338162,ATL03_20190102184312_00810210_006_02.h5,simplified_ANT_1000_East_B-C_ATL03_20190102184312_00810210_006_02_gt2l_0054,/Users/parndt/jupyterprojects/icelakes-methods/data/lakes/lake_09757904_AIS_2018-19_simplified_ANT_1000_East_B-C_ATL03_20190102184312_00810210_006_02_gt2l_0054.h5,AIS_East,B-C,5.464679716980775,good data,1,"LINESTRING (1863438.4034872516 758141.3591599587, 1862124.562109652 757800.0053014962)",True,[19538]
1,79,AIS,2018-19,ANT_1000_East_B-C,2.2194101856575053,7.181449140792926,436.0,87.09636085510641,11706,69.2702667196084,-72.35233476689228,2019-01-23T17:41:49Z,69.26798378630284,69.2725623951433,-72.35734825930592,-72.34731082036384,2,401,gt3l,strong,5,0.3483725131635375,6.270613052600808,ATL03_20190123173555_04010210_006_02.h5,simplified_ANT_1000_East_B-C_ATL03_20190123173555_04010210_006_02_gt3l_0022,/Users/parndt/jupyterprojects/icelakes-methods/data/lakes/lake_09778059_AIS_2018-19_simplified_ANT_1000_East_B-C_ATL03_20190123173555_04010210_006_02_gt3l_0022.h5,AIS_East,B-C,7.200883535449157,good data,1,"LINESTRING (1807464.4964596885 683996.520040571, 1806648.6519579245 683810.2185492325)",True,[2943]
2,86,AIS,2018-19,ANT_1000_East_B-C,1.8662104775306327,2.979374076055532,1298.0,53.50987058639343,30374,71.51292035790286,-70.95628135025898,2019-01-15T17:57:57Z,71.5095039246393,71.51633964002707,-70.96506509757688,-70.9474861291239,2,279,gt2l,strong,3,0.2362943647462943,7.797486275948692,ATL03_20190115175225_02790210_006_02.h5,simplified_ANT_1000_East_B-C_ATL03_20190115175225_02790210_006_02_gt2l_0009,/Users/parndt/jupyterprojects/icelakes-methods/data/lakes/lake_09813379_AIS_2018-19_simplified_ANT_1000_East_B-C_ATL03_20190115175225_02790210_006_02_gt2l_0009.h5,AIS_East,B-C,3.0161470103261707,good data,1,"LINESTRING (1980771.985648242 662142.9847910692, 1979104.3746941718 661811.8202224142)",True,[5675]
3,102,AIS,2018-19,ANT_1000_East_B-C,1.516741242846099,4.568865938179086,735.0,25.53520739173989,4071,68.37395337671654,-70.57343181932427,2019-01-02T18:48:38Z,68.37154587373354,68.37635114745005,-70.57970978472699,-70.56715266736431,2,81,gt1r,weak,2,0.1821322894734539,8.227232776258441,ATL03_20190102184312_00810210_006_02.h5,simplified_ANT_1000_East_B-C_ATL03_20190102184312_00810210_006_02_gt1r_0023,/Users/parndt/jupyterprojects/icelakes-methods/data/lakes/lake_09848326_AIS_2018-19_simplified_ANT_1000_East_B-C_ATL03_20190102184312_00810210_006_02_gt1r_0023.h5,AIS_East,B-C,4.617662061150526,good data,1,"LINESTRING (1981027.0096822393 785301.7038033057, 1979926.351187123 785019.21325695)",False,[]
4,103,AIS,2018-19,ANT_1000_East_B-C,1.4930404507739177,2.160561013115988,687.0,96.8747806396523,11983,68.01546424521781,-71.4959552635591,2019-01-02T18:48:53Z,68.0131476301486,68.01778519539683,-71.5015913881942,-71.49029563395308,2,81,gt1l,strong,1,0.1472685723773223,10.037526638626035,ATL03_20190102184312_00810210_006_02.h5,simplified_ANT_1000_East_B-C_ATL03_20190102184312_00810210_006_02_gt1l_0007,/Users/parndt/jupyterprojects/icelakes-methods/data/lakes/lake_09850696_AIS_2018-19_simplified_ANT_1000_East_B-C_ATL03_20190102184312_00810210_006_02_gt1l_0007.h5,AIS_East,B-C,2.1725107474958154,good data,1,"LINESTRING (1880553.4033865773 759128.6762153052, 1879500.3945881901 758853.6015313101)",True,[20502]
5,114,AIS,2018-19,ANT_1000_East_B-C,1.236501415591604,2.696076434764142,260.0,18.47228792953594,6296,68.36170860665595,-70.6131278317646,2019-01-02T18:48:39Z,68.36001719129733,68.36342285350302,-70.61751478398652,-70.60872580098516,2,81,gt1l,strong,1,0.3107600591500191,3.878830582886698,ATL03_20190102184312_00810210_006_02.h5,simplified_ANT_1000_East_B-C_ATL03_20190102184312_00810210_006_02_gt1l_0000,/Users/parndt/jupyterprojects/icelakes-methods/data/lakes/lake_09876350_AIS_2018-19_simplified_ANT_1000_East_B-C_ATL03_20190102184312_00810210_006_02_gt1l_0000.h5,AIS_East,B-C,2.7026691224736523,good data,1,"LINESTRING (1976450.402528651 784016.1918512377, 1975810.3932239432 783852.1618793806)",True,[387]
6,122,AIS,2018-19,ANT_1000_East_B-C,1.073583635816001,1.7960102173119683,4609.0,167.07667514229206,116056,67.54451730738542,-72.5952758593645,2019-01-02T18:49:10Z,67.53299532443678,67.55606477501517,-72.62097576111442,-72.5695547348376,2,81,gt1l,strong,1,0.1937534762255818,5.440691448816296,ATL03_20190102184312_00810210_006_02.h5,simplified_ANT_1000_East_B-C_ATL03_20190102184312_00810210_006_02_gt1l_0014,/Users/parndt/jupyterprojects/icelakes-methods/data/lakes/lake_09892642_AIS_2018-19_simplified_ANT_1000_East_B-C_ATL03_20190102184312_00810210_006_02_gt1l_0014.h5,AIS_East,B-C,1.834721176442871,good data,1,"LINESTRING (1762908.4905045747 728287.1706851869, 1758087.264318794 727011.1150392832)",True,[15592]
7,127,AIS,2018-19,ANT_1000_East_B-C,0.9653640517221822,2.412287384834328,1771.0,211.9253420410184,14785,67.24438684575549,-73.01429114457326,2019-01-02T18:49:17Z,67.23786060760263,67.25090495054077,-73.0280886533924,-73.00050397180313,2,81,gt2r,weak,4,0.1315797072002069,7.236166880084555,ATL03_20190102184312_00810210_006_02.h5,simplified_ANT_1000_East_B-C_ATL03_20190102184312_00810210_006_02_gt2r_0080,/Users/parndt/jupyterprojects/icelakes-methods/data/lakes/lake_09903464_AIS_2018-19_simplified_ANT_1000_East_B-C_ATL03_20190102184312_00810210_006_02_gt2r_0080.h5,AIS_East,B-C,2.421096375964122,good data,1,"LINESTRING (1715372.3756742578 719295.6788328303, 1712527.670651178 718539.4154907536)",True,"[12704, 12779, 12781]"
8,132,AIS,2018-19,ANT_1000_East_B-C,0.9068445678650204,2.417695346604908,1218.0,53.52133893585026,9184,71.51003776445101,-70.95678236189684,2019-01-15T17:57:57Z,71.50684383684737,71.51322769796299,-70.96493977216026,-70.94862440002157,2,279,gt2r,weak,4,0.1240229352152235,7.211320709224953,ATL03_20190115175225_02790210_006_02.h5,simplified_ANT_1000_East_B-C_ATL03_20190115175225_02790210_006_02_gt2r_0020,/Users/parndt/jupyterprojects/icelakes-methods/data/lakes/lake_09909316_AIS_2018-19_simplified_ANT_1000_East_B-C_ATL03_20190115175225_02790210_006_02_gt2r_0020.h5,AIS_East,B-C,2.4405949259250144,good data,1,"LINESTRING (1980659.6376853106 662219.3536021429, 1979070.510868166 661903.7252032247)",True,[5675]
9,135,AIS,2018-19,ANT_1000_East_B-C,0.844801448497951,2.556254019829914,1982.0,198.2752124176064,37672,67.30819767218487,-72.8859295027974,2019-01-02T18:49:15Z,67.30256260527865,67.31384153559733,-72.8978372615168,-72.87402679793966,2,81,gt2l,strong,3,0.1715311145411082,4.824775327232133,ATL03_20190102184312_00810210_006_02.h5,simplified_ANT_1000_East_B-C_ATL03_20190102184312_00810210_006_02_gt2l_0062,/Users/parndt/jupyterprojects/icelakes-methods/data/lakes/lake_09915520_AIS_2018-19_simplified_ANT_1000_East_B-C_ATL03_20190102184312_00810210_006_02_gt2l_0062.h5,AIS_East,B-C,2.5990718777235418,good data,1,"LINESTRING (1729088.097421926 722819.3048856074, 1726769.8105598928 722208.5804078118)",True,[13333]
10,136,AIS,2018-19,ANT_1000_East_B-C,0.8346924039058199,1.4067200760163003,1935.0,161.84320738602074,51939,67.56395831667284,-72.55199251999355,2019-01-02T18:49:09Z,67.55884375346344,67.56905393851592,-72.56327218246702,-72.5407133953961,2,81,gt1l,strong,1,0.1456773591766079,5.629339927796846,ATL03_20190102184312_00810210_006_02.h5,simplified_ANT_1000_East_B-C_ATL03_20190102184312_00810210_006_02_gt1l_0013,/Users/parndt/jupyterprojects/icelakes-methods/data/lakes/lake_09916531_AIS_2018-19_simplified_ANT_1000_East_B-C_ATL03_20190102184312_00810210_006_02_gt1l_0013.h5,AIS_East,B-C,1.4273367881176504,good data,1,"LINESTRING (1766529.5483109 729239.8470830352, 1764281.0332161207 728649.6820604419)",True,[15592]
11,137,AIS,2018-19,ANT_1000_East_B-C,0.8176120841947586,3.015657251774356,952.0,53.97895874786197,38831,71.55448662372001,-70.93869835577837,2019-01-16T06:42:16Z,71.55178984620443,71.55718992234469,-70.94561215913508,-70.93179377828505,2,287,gt2l,strong,3,0.2429393930438845,3.265359649394437,ATL03_20190116064007_02870212_006_02.h5,simplified_ANT_1000_East_B-C_ATL03_20190116064007_02870212_006_02_gt2l_0006,/Users/parndt/jupyterprojects/icelakes-methods/data/lakes/lake_09918239_AIS_2018-19_simplified_ANT_1000_East_B-C_ATL03_20190116064007_02870212_006_02_gt2l_0006.h5,AIS_East,B-C,3.044376521954104,good data,1,"LINESTRING (1981651.3567522604 660868.186301277, 1982872.3114549087 661456.3718920699)",True,[5730]
